,D_1086,D_1087,D_1088,D_1100,D_1101,D_1102,D_1104,D_1106,D_1107,D_1109,D_1110,D_1111,D_1112,D_1113,D_1114,D_1115,D_1116,D_1117,D_1119,D_1120,D_1121,D_1122,D_1123,D_1124,D_1125,D_1126,D_1127,D_1128,D_1129
autodp_00_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_ofat_imputation_random,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_ofat_imputation_drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_ofat_imputation_knn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_ofat_imputation_most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_ofat_imputation_em,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_ofat_imputation_mice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_ofat_encoding_ordinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_ofat_encoding_binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_ofat_encoding_frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_ofat_encoding_catboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_ofat_normalization_zscore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_ofat_normalization_minmax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_ofat_normalization_decimal_scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_ofat_feature_selection_missing_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_ofat_feature_selection_wrapper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_ofat_feature_selection_collinear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_ofat_feature_selection_tree_based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_ofat_duplicate_removal_exact,0.9473684210526315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_ofat_duplicate_removal_approximate,0.9473684210526315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_ofat_outlier_removal_zscore,0.9473684210526315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_ofat_outlier_removal_iqr,0.9473684210526315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_ofat_outlier_removal_lof,0.9473684210526315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_combo_01_basic,0.9298245614035088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_combo_02_knn_binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_combo_03_mice_catboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_combo_04_em_frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_combo_05_random_ordinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_combo_06_drop_binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_combo_07_mf_frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_combo_08_knn_catboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_combo_09_mice_ordinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_combo_10_em_binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_combo_11_random_frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_combo_12_drop_catboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autodp_combo_13_mf_binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
