,D_895,D_896,D_897,D_898,D_899,D_900,D_901,D_902,D_903,D_904,D_905,D_906,D_907,D_908,D_909,D_910,D_911,D_912,D_913,D_914,D_915,D_916,D_917,D_918,D_919,D_920,D_921,D_922,D_923
autodp_00_baseline,,0.58,0.9742489270386266,0.8181818181818182,0.8421052631578947,0.575,0.835,0.6,0.65,0.795,1.0,0.5125,0.6,0.575,0.5375,0.705,0.56,0.73,0.62,0.8379052369077307,0.5238095238095238,0.65,0.69,0.52,1.0,0.68,1.0,0.6,0.988
autodp_ofat_imputation_random,,0.58,0.9742489270386266,0.9090909090909091,0.8421052631578947,0.575,0.835,0.6,0.65,0.795,1.0,0.5125,0.6,0.575,0.5375,0.705,0.56,0.73,0.62,0.8379052369077307,0.5238095238095238,0.65,0.69,0.52,1.0,0.68,1.0,0.6,0.988
autodp_ofat_imputation_drop,,0.58,0.9699570815450643,0.9090909090909091,0.8421052631578947,0.575,0.835,0.6,0.65,0.795,1.0,0.5125,0.6,0.575,0.5375,0.705,0.56,0.73,0.62,0.8379052369077307,0.5238095238095238,0.65,0.69,0.52,1.0,0.68,1.0,0.6,0.988
autodp_ofat_imputation_knn,,0.58,0.9742489270386266,0.8181818181818182,0.7894736842105263,0.575,0.835,0.6,0.65,0.795,1.0,0.5125,0.6,0.575,0.5375,0.705,0.56,0.73,0.62,0.8379052369077307,0.5238095238095238,0.65,0.69,0.52,1.0,0.68,1.0,0.6,0.988
autodp_ofat_imputation_most_frequent,,0.58,0.9742489270386266,0.7272727272727273,0.7894736842105263,0.575,0.835,0.6,0.65,0.795,1.0,0.5125,0.6,0.575,0.5375,0.705,0.56,0.73,0.62,0.8379052369077307,0.5238095238095238,0.65,0.69,0.52,1.0,0.68,1.0,0.6,0.988
autodp_ofat_imputation_em,,0.58,0.9785407725321889,0.8181818181818182,0.7894736842105263,0.575,0.835,0.6,0.65,0.795,1.0,0.5125,0.6,0.575,0.5375,0.705,0.56,0.73,0.62,0.8379052369077307,0.5238095238095238,0.65,0.69,0.52,1.0,0.68,1.0,0.6,0.988
autodp_ofat_imputation_mice,,0.58,0.9742489270386266,0.8181818181818182,0.8421052631578947,0.575,0.835,0.6,0.65,0.795,1.0,0.5125,0.6,0.575,0.5375,0.705,0.56,0.73,0.62,0.8379052369077307,0.5238095238095238,0.65,0.69,0.52,1.0,0.68,1.0,0.6,0.988
autodp_ofat_encoding_ordinal,,0.58,0.9742489270386266,0.8181818181818182,0.8421052631578947,0.575,0.835,0.6666666666666666,0.65,0.795,1.0,0.5125,0.6,0.575,0.5375,0.705,0.56,0.73,0.62,0.8379052369077307,0.5555555555555556,0.65,0.69,0.52,1.0,0.68,1.0,0.6,0.987
autodp_ofat_encoding_binary,,0.58,0.9742489270386266,0.8181818181818182,0.8421052631578947,0.575,0.835,0.6,0.65,0.795,1.0,0.5125,0.6,0.575,0.5375,0.705,0.56,0.73,0.62,0.8379052369077307,0.5079365079365079,0.65,0.69,0.52,1.0,0.68,1.0,0.6,0.988
autodp_ofat_encoding_frequency,,0.58,0.9742489270386266,0.8181818181818182,0.7894736842105263,0.575,0.835,0.7333333333333333,0.65,0.795,1.0,0.5125,0.6,0.575,0.5375,0.705,0.56,0.73,0.62,0.8379052369077307,0.5396825396825397,0.65,0.69,0.52,1.0,0.68,1.0,0.6,0.979
