,D_1405,D_1406,D_1407,D_1408,D_1409,D_1410,D_1413,D_1441,D_1442,D_1443,D_1444,D_1446,D_1447,D_1451,D_1452,D_1453,D_1455,D_1457,D_1458,D_1459,D_1460,D_1461,D_1462,D_1463,D_1464,D_1465,D_1466,D_1467,D_1468
autodp_00_baseline,0.847,0.659,0.59,0.855,0.685,0.663,0.9666666666666667,0.88,0.9019607843137255,0.8947368421052632,0.9043062200956937,0.8166666666666667,0.7727272727272727,0.9148936170212766,0.9530201342281879,0.8842592592592593,0.9583333333333334,0.69,0.725,0.35,0.572,0.907,0.9963636363636363,0.8,0.7866666666666666,0.2727272727272727,0.7910798122065728,0.9166666666666666,0.9351851851851852
autodp_ofat_imputation_random,0.847,0.659,0.59,0.855,0.685,0.663,0.9666666666666667,0.88,0.9019607843137255,0.8947368421052632,0.9043062200956937,0.8166666666666667,0.7727272727272727,0.9148936170212766,0.9530201342281879,0.8842592592592593,0.9583333333333334,0.69,0.725,0.35,0.572,0.907,0.9963636363636363,0.8,0.7866666666666666,0.2727272727272727,0.7910798122065728,0.9166666666666666,0.9351851851851852
autodp_ofat_imputation_drop,0.847,0.659,0.59,0.855,0.685,0.663,0.9666666666666667,0.88,0.9019607843137255,0.8947368421052632,0.9043062200956937,0.8166666666666667,0.7727272727272727,0.9148936170212766,0.9530201342281879,0.8842592592592593,0.9583333333333334,0.69,0.725,0.35,0.572,0.907,0.9963636363636363,0.8,0.7866666666666666,0.2727272727272727,0.7910798122065728,0.9166666666666666,0.9351851851851852
autodp_ofat_imputation_knn,0.847,0.659,0.59,0.855,0.685,0.663,0.9666666666666667,0.88,0.9019607843137255,0.8947368421052632,0.9043062200956937,0.8166666666666667,0.7727272727272727,0.9148936170212766,0.9530201342281879,0.8842592592592593,0.9583333333333334,0.69,0.725,0.35,0.572,0.907,0.9963636363636363,0.8,0.7866666666666666,0.2727272727272727,0.7910798122065728,0.9166666666666666,0.9351851851851852
autodp_ofat_imputation_most_frequent,0.847,0.659,0.59,0.855,0.685,0.663,0.9666666666666667,0.88,0.9019607843137255,0.8947368421052632,0.9043062200956937,0.8166666666666667,0.7727272727272727,0.9148936170212766,0.9530201342281879,0.8842592592592593,0.9583333333333334,0.69,0.725,0.35,0.572,0.907,0.9963636363636363,0.8,0.7866666666666666,0.2727272727272727,0.7910798122065728,0.9166666666666666,0.9351851851851852
autodp_ofat_imputation_em,0.847,0.659,0.59,0.855,0.685,0.663,0.9666666666666667,0.88,0.9019607843137255,0.8947368421052632,0.9043062200956937,0.8166666666666667,0.7727272727272727,0.9148936170212766,0.9530201342281879,0.8842592592592593,0.9583333333333334,0.69,0.725,0.35,0.572,0.907,0.9963636363636363,0.8,0.7866666666666666,0.2727272727272727,0.7910798122065728,0.9166666666666666,0.9351851851851852
autodp_ofat_imputation_mice,0.847,0.659,0.59,0.855,0.685,0.663,0.9666666666666667,0.88,0.9019607843137255,0.8947368421052632,0.9043062200956937,0.8166666666666667,0.7727272727272727,0.9148936170212766,0.9530201342281879,0.8842592592592593,0.9583333333333334,0.69,0.725,0.35,0.572,0.907,0.9963636363636363,0.8,0.7866666666666666,0.2727272727272727,0.7910798122065728,0.9166666666666666,0.9351851851851852
autodp_ofat_encoding_ordinal,0.822,0.65,0.585,0.834,0.683,0.641,0.9666666666666667,0.88,0.9019607843137255,0.8947368421052632,0.9043062200956937,0.8166666666666667,0.7727272727272727,0.9148936170212766,0.9530201342281879,0.8842592592592593,0.9583333333333334,0.69,0.725,0.35,0.572,0.899,0.9963636363636363,0.55,0.7866666666666666,0.2727272727272727,0.7910798122065728,0.9166666666666666,0.9351851851851852
autodp_ofat_encoding_binary,0.841,0.656,0.583,0.856,0.689,0.663,0.9666666666666667,0.88,0.9019607843137255,0.8947368421052632,0.9043062200956937,0.8166666666666667,0.7727272727272727,0.9148936170212766,0.9530201342281879,0.8842592592592593,0.9583333333333334,0.69,0.725,0.35,0.572,0.901,0.9963636363636363,0.65,0.7866666666666666,0.2727272727272727,0.7910798122065728,0.9166666666666666,0.9351851851851852
autodp_ofat_encoding_frequency,0.815,0.649,0.577,0.833,0.681,0.644,0.9666666666666667,0.88,0.9019607843137255,0.8947368421052632,0.9043062200956937,0.8166666666666667,0.7727272727272727,0.9148936170212766,0.9530201342281879,0.8842592592592593,0.875,0.69,0.725,0.35,0.572,0.889,0.9963636363636363,0.65,0.7866666666666666,0.2727272727272727,0.7910798122065728,0.9166666666666666,0.9351851851851852
