,D_137,D_138,D_139,D_140,D_141,D_142,D_143,D_144,D_146,D_147,D_148,D_149,D_150,D_151,D_152,D_153,D_154,D_155,D_156,D_157,D_158,D_159,D_160,D_161,D_162,D_163,D_164,D_171,D_172
autodp_00_baseline,,0.864,0.888,0.875,0.642,0.912,0.965,0.936,0.926,0.825,,0.627,0.709,0.694,0.698,0.91,0.554,0.553,0.469,0.493,0.508,0.307,0.316,0.857,0.826,0.42857142857142855,0.7727272727272727,0.3787878787878788,0.6666666666666666
autodp_ofat_imputation_random,,0.864,0.888,0.875,0.642,0.912,0.965,0.936,0.926,0.825,,0.627,0.709,0.694,0.698,0.91,0.554,0.553,0.469,0.493,0.508,0.307,0.316,0.857,0.826,0.2857142857142857,0.7727272727272727,0.3787878787878788,0.6666666666666666
autodp_ofat_imputation_drop,,0.864,0.888,0.875,0.642,0.912,0.965,0.936,0.926,0.825,,0.627,0.709,0.694,0.698,0.91,0.554,0.553,0.469,0.493,0.508,0.307,0.316,0.857,0.826,0.7142857142857143,0.7727272727272727,0.3939393939393939,0.6666666666666666
autodp_ofat_imputation_knn,,0.864,0.888,0.875,0.642,0.912,0.965,0.936,0.926,0.825,,0.627,0.709,0.694,0.698,0.91,0.554,0.553,0.469,0.493,0.508,0.307,0.316,0.857,0.826,0.42857142857142855,0.7727272727272727,0.3787878787878788,0.6666666666666666
autodp_ofat_imputation_most_frequent,,0.864,0.888,0.875,0.642,0.912,0.965,0.936,0.926,0.825,,0.627,0.709,0.694,0.698,0.91,0.554,0.553,0.469,0.493,0.508,0.307,0.316,0.857,0.826,0.42857142857142855,0.7727272727272727,0.3787878787878788,0.6666666666666666
autodp_ofat_imputation_em,,0.864,0.888,0.875,0.642,0.912,0.965,0.936,0.926,0.825,,0.627,0.709,0.694,0.698,0.91,0.554,0.553,0.469,0.493,0.508,0.307,0.316,0.857,0.826,0.42857142857142855,0.7727272727272727,0.3787878787878788,0.6666666666666666
autodp_ofat_imputation_mice,,0.864,0.888,0.875,0.642,0.912,0.965,0.936,0.926,0.825,,0.627,0.709,0.694,0.698,0.91,0.554,0.553,0.469,0.493,0.508,0.307,0.316,0.857,0.826,0.42857142857142855,0.7727272727272727,0.3787878787878788,0.6666666666666666
autodp_ofat_encoding_ordinal,,0.864,0.872,0.837,0.569,0.897,0.965,0.937,0.889,0.748,0.946,0.626,0.711,0.68,0.698,0.91,0.555,0.557,0.469,0.493,0.508,0.307,0.316,0.857,0.826,0.42857142857142855,0.7272727272727273,0.4393939393939394,0.6666666666666666
autodp_ofat_encoding_binary,,0.866,0.895,0.873,0.641,0.911,0.965,0.936,0.924,0.82,0.949,0.627,0.708,0.68,0.698,0.91,0.554,0.551,0.469,0.493,0.508,0.307,0.316,0.857,0.826,0.2857142857142857,0.6818181818181818,0.3939393939393939,1.0
autodp_ofat_encoding_frequency,,0.846,0.841,0.838,0.551,0.887,0.955,0.937,0.89,0.468,0.927,0.625,0.705,0.679,0.698,0.91,0.531,0.561,0.469,0.493,0.508,0.307,0.316,0.857,0.826,0.5714285714285714,0.8636363636363636,0.4696969696969697,0.6666666666666666
autodp_ofat_encoding_catboost,,0.869,0.89,0.862,0.542,0.895,0.964,0.932,0.908,0.789,0.925,0.629,0.709,0.679,0.698,0.91,0.537,0.566,0.469,0.493,0.508,0.307,0.316,0.857,0.826,0.5714285714285714,0.7727272727272727,0.30303030303030304,0.6666666666666666
autodp_ofat_normalization_zscore,,0.864,0.888,0.875,0.642,0.912,0.965,0.936,0.926,0.825,,0.626,0.731,0.744,0.698,0.91,0.554,0.55,0.468,0.491,0.51,0.307,0.317,0.857,0.827,0.42857142857142855,0.7727272727272727,0.3787878787878788,0.6666666666666666
autodp_ofat_normalization_minmax,,0.864,0.888,0.875,0.642,0.912,0.965,0.936,0.926,0.825,,0.627,0.708,0.695,0.698,0.91,0.554,0.548,0.466,0.475,0.494,0.307,0.313,0.857,0.828,0.42857142857142855,0.7727272727272727,0.3787878787878788,0.6666666666666666
autodp_ofat_normalization_decimal_scale,,0.864,0.888,0.875,0.642,0.912,0.965,0.936,0.926,0.825,,0.601,0.704,0.687,0.698,0.91,0.554,0.513,0.399,0.407,0.399,0.302,0.306,0.857,0.828,0.42857142857142855,0.7727272727272727,0.3787878787878788,0.6666666666666666
autodp_ofat_feature_selection_missing_ratio,,0.864,0.888,0.875,0.642,0.912,0.965,0.936,0.926,0.825,,0.627,0.709,0.694,0.698,0.91,0.554,0.553,0.469,0.493,0.508,0.307,0.316,0.857,0.826,0.42857142857142855,0.7727272727272727,0.3787878787878788,0.6666666666666666
autodp_ofat_feature_selection_wrapper,,0.864,0.888,0.875,0.642,0.912,0.965,0.936,0.926,0.825,,0.625,0.696,0.693,0.677,0.823,0.554,0.513,0.382,0.411,0.431,0.301,0.312,0.856,0.824,0.42857142857142855,0.7727272727272727,0.3787878787878788,0.6666666666666666
autodp_ofat_feature_selection_collinear,,0.864,0.888,0.875,0.642,0.912,0.965,0.936,0.926,0.825,,0.627,0.709,0.694,0.698,0.91,0.554,0.553,0.469,0.493,0.508,0.307,0.316,0.857,0.826,0.42857142857142855,0.7727272727272727,0.3787878787878788,0.6666666666666666
autodp_ofat_feature_selection_tree_based,,0.864,0.888,0.875,0.642,0.912,0.965,0.936,0.926,0.825,,0.623,0.694,0.694,0.677,0.823,0.554,0.514,0.428,0.435,0.413,0.305,0.298,0.856,0.824,0.42857142857142855,0.7727272727272727,0.3787878787878788,0.6666666666666666
autodp_ofat_duplicate_removal_exact,0.719,0.866,0.888,0.865,0.62,0.914,0.965,0.935,0.928,0.825,,0.625,0.709,0.694,0.698,0.91,0.555,0.553,0.469,0.493,0.508,0.307,0.316,0.857,0.826,0.42857142857142855,0.7727272727272727,0.36363636363636365,0.6666666666666666
autodp_ofat_duplicate_removal_approximate,0.719,0.866,0.888,0.865,0.62,0.914,0.965,0.935,0.928,0.825,,0.625,0.709,0.693,0.698,0.91,0.555,0.553,0.445,0.493,0.49,0.307,0.316,0.857,0.826,0.42857142857142855,0.7727272727272727,0.36363636363636365,0.6666666666666666
autodp_ofat_outlier_removal_zscore,0.717,0.864,0.888,0.875,0.642,0.912,0.965,0.936,0.926,0.825,,0.599,0.709,0.693,0.698,0.91,0.554,0.555,0.471,0.501,0.509,0.296,0.306,0.857,0.826,0.42857142857142855,0.7727272727272727,0.3787878787878788,0.6666666666666666
autodp_ofat_outlier_removal_iqr,0.717,0.864,0.888,0.875,0.642,0.912,0.965,0.936,0.926,0.825,,0.563,0.694,0.688,0.698,0.91,0.554,0.551,0.473,0.513,0.511,0.298,0.305,0.857,0.826,0.42857142857142855,0.7727272727272727,0.3787878787878788,0.6666666666666666
autodp_ofat_outlier_removal_lof,0.717,0.864,0.888,0.875,0.642,0.912,0.965,0.936,0.926,0.825,,0.623,0.709,0.691,0.698,0.91,0.554,0.552,0.44,0.488,0.488,0.294,0.31,0.857,0.826,0.42857142857142855,0.7727272727272727,0.3787878787878788,0.6666666666666666
autodp_combo_01_basic,0.669,0.863,0.871,0.836,0.56,0.902,0.966,0.936,0.891,0.746,,0.534,0.722,0.736,0.698,0.91,0.556,0.559,0.47,0.509,0.511,0.298,0.305,0.857,0.827,0.42857142857142855,0.7272727272727273,0.36363636363636365,0.6666666666666666
autodp_combo_02_knn_binary,0.719,0.868,0.895,0.869,0.626,0.913,0.966,0.936,0.924,0.82,,0.626,0.714,0.741,0.698,0.91,0.557,0.548,0.445,0.479,0.486,0.292,0.312,0.857,0.827,0.2857142857142857,0.6818181818181818,0.42424242424242425,0.6666666666666666
autodp_combo_03_mice_catboost,0.698,0.876,0.889,0.855,0.545,0.888,0.957,0.937,0.92,0.79,,0.596,0.728,0.74,0.677,0.823,0.545,0.553,0.394,0.42,0.407,0.284,0.312,0.856,0.823,0.2857142857142857,0.9090909090909091,0.3484848484848485,0.3333333333333333
autodp_combo_04_em_frequency,0.645,0.855,0.838,0.813,0.471,0.88,0.959,0.937,0.896,0.467,,0.555,0.671,0.704,0.677,0.823,0.529,0.556,0.425,0.347,0.381,0.304,0.301,0.856,0.823,0.7142857142857143,0.8636363636363636,0.3484848484848485,0.6666666666666666
autodp_combo_05_random_ordinal,0.669,0.863,0.871,0.836,0.56,0.902,0.966,0.936,0.891,0.746,,0.622,0.73,0.737,0.698,0.91,0.556,0.555,0.449,0.499,0.497,0.293,0.311,0.857,0.827,0.42857142857142855,0.7272727272727273,0.36363636363636365,0.6666666666666666
autodp_combo_06_drop_binary,0.684,0.827,0.861,0.863,0.591,0.886,0.971,0.938,0.912,0.791,,0.55,0.692,0.741,0.677,0.823,0.545,0.537,0.41,0.437,0.426,0.286,0.312,0.856,0.823,0.8571428571428571,0.7272727272727273,0.30303030303030304,0.6666666666666666
autodp_combo_07_mf_frequency,0.645,0.849,0.842,0.821,0.522,0.879,0.957,0.936,0.899,0.468,,0.555,0.696,0.704,0.698,0.91,0.532,0.569,0.419,0.426,0.423,0.303,0.304,0.857,0.827,0.7142857142857143,0.8636363636363636,0.4090909090909091,0.6666666666666666
autodp_combo_08_knn_catboost,0.708,0.865,0.891,0.845,0.54,0.89,0.958,0.938,0.915,0.791,,0.621,0.704,0.744,0.677,0.823,0.535,0.55,0.376,0.427,0.429,0.293,0.295,0.856,0.824,0.42857142857142855,0.7727272727272727,0.2727272727272727,0.6666666666666666
autodp_combo_09_mice_ordinal,0.668,0.865,0.871,0.837,0.559,0.902,0.966,0.933,0.891,0.75,,0.624,0.712,0.681,0.698,0.91,0.556,0.556,0.466,0.475,0.494,0.307,0.313,0.857,0.827,0.2857142857142857,0.7272727272727273,0.3939393939393939,0.6666666666666666
autodp_combo_10_em_binary,0.707,0.848,0.873,0.861,0.591,0.893,0.95,0.932,0.904,0.796,,0.568,0.691,0.688,0.698,0.91,0.545,0.546,0.421,0.429,0.424,0.301,0.307,0.857,0.827,0.5714285714285714,0.6363636363636364,0.25757575757575757,0.6666666666666666
autodp_combo_11_random_frequency,0.638,0.855,0.812,0.833,0.526,0.885,0.957,0.938,0.882,0.474,,0.543,0.714,0.741,0.677,0.823,0.529,0.561,0.433,0.44,0.422,0.3,0.314,0.856,0.824,0.5714285714285714,0.7272727272727273,0.3787878787878788,0.6666666666666666
autodp_combo_12_drop_catboost,0.705,0.849,0.886,0.856,0.521,0.891,0.967,0.936,0.904,0.79,,0.618,0.697,0.738,0.677,0.823,0.54,0.545,0.352,0.376,0.424,0.294,0.308,0.856,0.823,0.5714285714285714,0.8636363636363636,0.24242424242424243,0.6666666666666666
autodp_combo_13_mf_binary,0.707,0.853,0.873,0.856,0.591,0.89,0.945,0.932,0.901,0.796,,0.554,0.673,0.688,0.698,0.91,0.545,0.546,0.421,0.429,0.424,0.301,0.307,0.857,0.827,0.42857142857142855,0.6363636363636364,0.25757575757575757,0.6666666666666666
