,D_1158,D_1159,D_1160,D_1161,D_1162,D_1163,D_1164,D_1165,D_1166,D_1167,D_1169,D_1178,D_1179,D_1180,D_1181,D_1182,D_1183,D_1185,D_1186,D_1205,D_1209,D_1211,D_1212,D_1214,D_1218,D_1219,D_1220,D_1222,D_1233
autodp_00_baseline,,0.9230769230769231,0.9390243902439024,0.9579288025889967,0.8307692307692308,0.9871794871794872,0.6216216216216216,0.9541284403669725,0.9320388349514563,0.71875,0.606,0.973,0.999,0.919,0.767,0.854,0.81,0.89,0.43,0.844,0.325,0.831,0.709,0.79,0.828,0.827,0.833,0.793,0.2222222222222222
autodp_ofat_imputation_random,,0.9230769230769231,0.9390243902439024,0.9579288025889967,0.8307692307692308,0.9871794871794872,0.6216216216216216,0.9541284403669725,0.9320388349514563,0.71875,0.606,0.973,0.999,0.919,0.767,0.854,0.81,0.89,0.43,0.844,0.325,0.831,0.709,0.79,0.828,0.827,0.833,0.793,0.2222222222222222
autodp_ofat_imputation_drop,,0.9230769230769231,0.9390243902439024,0.9579288025889967,0.8307692307692308,0.9871794871794872,0.6216216216216216,0.9541284403669725,0.9320388349514563,0.71875,0.606,0.973,0.999,0.919,0.767,0.854,0.81,0.89,0.43,0.844,0.325,0.831,0.709,0.79,0.828,0.827,0.833,0.793,0.2222222222222222
autodp_ofat_imputation_knn,,0.9230769230769231,0.9390243902439024,0.9579288025889967,0.8307692307692308,0.9871794871794872,0.6216216216216216,0.9541284403669725,0.9320388349514563,0.71875,0.606,0.973,0.999,0.919,0.767,0.854,0.81,0.89,0.43,0.844,0.325,0.831,0.709,0.79,0.828,0.827,0.833,0.793,0.2222222222222222
autodp_ofat_imputation_most_frequent,,0.9230769230769231,0.9390243902439024,0.9579288025889967,0.8307692307692308,0.9871794871794872,0.6216216216216216,0.9541284403669725,0.9320388349514563,0.71875,0.606,0.973,0.999,0.919,0.767,0.854,0.81,0.89,0.43,0.844,0.325,0.831,0.709,0.79,0.828,0.827,0.833,0.793,0.2222222222222222
autodp_ofat_imputation_em,,0.9230769230769231,0.9390243902439024,0.9579288025889967,0.8307692307692308,0.9871794871794872,0.6216216216216216,0.9541284403669725,0.9320388349514563,0.71875,0.606,0.973,0.999,0.919,0.767,0.854,0.81,0.89,0.43,0.844,0.325,0.831,0.709,0.79,0.828,0.827,0.833,0.793,0.2222222222222222
autodp_ofat_imputation_mice,,0.9230769230769231,0.9390243902439024,0.9579288025889967,0.8307692307692308,0.9871794871794872,0.6216216216216216,0.9541284403669725,0.9320388349514563,0.71875,0.606,0.973,0.999,0.919,0.767,0.854,0.81,0.89,0.43,0.844,0.325,0.831,0.709,0.79,0.828,0.827,0.833,0.793,0.2222222222222222
autodp_ofat_encoding_ordinal,,0.9230769230769231,0.9390243902439024,0.9579288025889967,0.8307692307692308,0.9871794871794872,0.6216216216216216,0.9541284403669725,0.9320388349514563,0.734375,0.584,0.968,0.998,0.919,0.767,0.791,0.81,0.89,0.407,0.844,0.335,0.831,0.709,0.79,0.828,0.827,0.833,0.793,0.2222222222222222
autodp_ofat_encoding_binary,,0.9230769230769231,0.9390243902439024,0.9579288025889967,0.8307692307692308,0.9871794871794872,0.6216216216216216,0.9541284403669725,0.9320388349514563,0.71875,0.582,0.975,0.997,0.919,0.767,0.849,0.81,0.89,0.446,0.844,0.337,0.831,0.709,0.79,0.828,0.827,0.833,0.793,0.2222222222222222
autodp_ofat_encoding_frequency,,0.9230769230769231,0.9390243902439024,0.9579288025889967,0.8307692307692308,0.9871794871794872,0.6216216216216216,0.9541284403669725,0.9320388349514563,0.734375,0.595,0.971,0.997,0.919,0.767,0.798,0.81,0.89,0.398,0.844,0.329,0.803,0.709,0.79,0.828,0.827,0.833,0.793,0.2222222222222222
