,D_835,D_836,D_837,D_838,D_839,D_840,D_841,D_842,D_843,D_844,D_845,D_846,D_847,D_848,D_849,D_850,D_851,D_852,D_853,D_854,D_855,D_857,D_858,D_859,D_860,D_861,D_862,D_863,D_864
autodp_00_baseline,,0.42857142857142855,0.655,0.6,0.910828025477707,0.9512195121951219,0.8631578947368421,0.5,0.83,0.6896551724137931,0.86,0.757,0.85,0.75,0.83,0.6,0.8958333333333334,0.78125,0.8921568627450981,0.96875,0.62,1.0,0.7796610169491526,1.0,0.8026315789473685,0.8947368421052632,0.7777777777777778,0.66,0.6666666666666666
autodp_ofat_imputation_random,,0.42857142857142855,0.655,0.6,0.89171974522293,0.9512195121951219,0.8631578947368421,0.5,0.83,0.6896551724137931,0.86,0.757,0.85,0.75,0.83,0.6,0.8958333333333334,0.78125,0.8921568627450981,0.96875,0.62,1.0,0.7288135593220338,1.0,0.8026315789473685,0.8421052631578947,0.7777777777777778,0.66,0.6666666666666666
autodp_ofat_imputation_drop,,0.42857142857142855,0.655,0.6,0.8598726114649682,0.926829268292683,0.8631578947368421,0.5,0.83,0.6551724137931034,0.86,0.757,0.85,0.75,0.83,0.6,0.8958333333333334,0.8125,0.8921568627450981,0.96875,0.62,1.0,,1.0,0.8026315789473685,0.7368421052631579,0.7777777777777778,0.66,0.6666666666666666
autodp_ofat_imputation_knn,,0.42857142857142855,0.655,0.6,0.9299363057324841,0.9512195121951219,0.8631578947368421,0.5,0.83,0.6896551724137931,0.86,0.757,0.85,0.75,0.83,0.6,0.8958333333333334,0.78125,0.8921568627450981,0.96875,0.62,1.0,0.7796610169491526,1.0,0.8026315789473685,0.8947368421052632,0.7777777777777778,0.66,0.6666666666666666
autodp_ofat_imputation_most_frequent,,0.42857142857142855,0.655,0.6,0.9044585987261147,0.9512195121951219,0.8631578947368421,0.5,0.83,0.6896551724137931,0.86,0.757,0.85,0.75,0.83,0.6,0.8958333333333334,0.78125,0.8921568627450981,0.96875,0.62,1.0,0.7796610169491526,1.0,0.8026315789473685,0.8421052631578947,0.7777777777777778,0.66,0.6666666666666666
autodp_ofat_imputation_em,,0.42857142857142855,0.655,0.6,0.910828025477707,0.9512195121951219,0.8631578947368421,0.5,0.83,0.6896551724137931,0.86,0.757,0.85,0.75,0.83,0.6,0.8958333333333334,0.78125,0.8921568627450981,0.96875,0.62,1.0,0.7796610169491526,1.0,0.8026315789473685,0.8947368421052632,0.7777777777777778,0.66,0.6666666666666666
autodp_ofat_imputation_mice,,0.42857142857142855,0.655,0.6,0.8853503184713376,0.9512195121951219,0.8631578947368421,0.5,0.83,0.6896551724137931,0.86,0.757,0.85,0.75,0.83,0.6,0.8958333333333334,0.8125,0.8921568627450981,0.96875,0.62,1.0,0.7966101694915254,1.0,0.8026315789473685,0.8421052631578947,0.7777777777777778,0.66,0.6666666666666666
autodp_ofat_encoding_ordinal,,0.42857142857142855,0.655,0.6,0.8089171974522293,0.975609756097561,0.8631578947368421,0.5,0.83,0.6551724137931034,0.86,0.757,0.85,0.75,0.83,0.6,0.8958333333333334,0.8125,0.8725490196078431,0.96875,0.62,1.0,0.7966101694915254,1.0,0.8026315789473685,0.6842105263157895,0.7777777777777778,0.66,0.6666666666666666
autodp_ofat_encoding_binary,,0.42857142857142855,0.655,0.6,0.8343949044585988,0.9512195121951219,0.8631578947368421,0.5,0.83,0.6724137931034483,0.86,0.757,0.85,0.75,0.83,0.6,0.8958333333333334,0.78125,0.8921568627450981,0.96875,0.62,1.0,0.7796610169491526,1.0,0.8026315789473685,0.8421052631578947,0.7777777777777778,0.66,0.6666666666666666
autodp_ofat_encoding_frequency,,0.42857142857142855,0.655,0.6,0.8089171974522293,0.9512195121951219,0.8631578947368421,0.5,0.83,0.6379310344827587,0.86,0.757,0.85,0.75,0.83,0.6,0.8958333333333334,0.78125,0.8725490196078431,0.96875,0.62,1.0,0.7796610169491526,1.0,0.8026315789473685,0.7894736842105263,0.8333333333333334,0.66,0.6666666666666666
autodp_ofat_encoding_catboost,,0.5714285714285714,0.655,0.6,0.8789808917197452,0.9512195121951219,0.8631578947368421,0.5,0.83,0.5862068965517241,0.86,0.757,0.85,0.75,0.83,0.6,0.8958333333333334,0.75,0.8725490196078431,0.96875,0.62,1.0,0.7796610169491526,1.0,0.8026315789473685,0.7894736842105263,0.8333333333333334,0.66,0.6666666666666666
autodp_ofat_normalization_zscore,,0.5714285714285714,0.655,0.6,0.910828025477707,0.9512195121951219,0.8526315789473684,0.5,0.85,0.6896551724137931,0.86,0.898,0.851,0.875,0.83,0.6,0.9166666666666666,0.78125,0.8725490196078431,0.9375,0.62,0.875,0.7796610169491526,1.0,0.8026315789473685,0.7894736842105263,0.7777777777777778,0.66,0.5833333333333334
autodp_ofat_normalization_minmax,,0.5714285714285714,0.65,0.58,0.9490445859872612,0.975609756097561,0.7947368421052632,0.4166666666666667,0.81,0.6724137931034483,0.865,0.838,0.846,0.75,0.84,0.7,0.9166666666666666,0.84375,0.8333333333333334,0.875,0.61,0.875,0.7457627118644068,1.0,0.8026315789473685,0.7894736842105263,0.7222222222222222,0.68,0.6666666666666666
autodp_ofat_normalization_decimal_scale,,0.7142857142857143,0.645,0.61,0.9299363057324841,0.975609756097561,0.7526315789473684,0.5833333333333334,0.779,,0.87,0.809,0.823,0.75,0.81,0.75,0.8958333333333334,0.8125,0.7843137254901961,0.8125,0.63,0.625,0.7457627118644068,0.8666666666666667,0.7236842105263158,0.8421052631578947,0.3333333333333333,0.64,0.6666666666666666
autodp_ofat_feature_selection_missing_ratio,,0.42857142857142855,0.655,0.6,0.910828025477707,0.9512195121951219,0.8631578947368421,0.5,0.83,0.6896551724137931,0.86,0.757,0.85,0.75,0.83,0.6,0.8958333333333334,0.78125,0.8921568627450981,0.96875,0.62,1.0,0.7796610169491526,1.0,0.8026315789473685,0.8947368421052632,0.7777777777777778,0.66,0.6666666666666666
autodp_ofat_feature_selection_wrapper,,0.42857142857142855,0.655,0.61,0.89171974522293,0.9024390243902439,0.8473684210526315,0.4166666666666667,0.758,0.6896551724137931,0.87,0.739,0.839,0.75,0.85,0.7,0.8958333333333334,0.78125,0.9019607843137255,0.96875,0.63,1.0,0.7796610169491526,1.0,0.8026315789473685,0.8947368421052632,0.8333333333333334,0.66,0.6666666666666666
autodp_ofat_feature_selection_collinear,,0.42857142857142855,0.655,0.6,0.910828025477707,0.9512195121951219,0.8631578947368421,0.5,0.83,0.6896551724137931,0.86,0.757,0.85,0.75,0.83,0.6,0.9375,0.78125,0.8921568627450981,0.96875,0.62,1.0,0.7796610169491526,1.0,0.8026315789473685,0.8947368421052632,0.7777777777777778,0.66,0.6666666666666666
autodp_ofat_feature_selection_tree_based,,0.5714285714285714,0.68,0.66,0.89171974522293,0.9512195121951219,0.8105263157894737,0.5,0.814,0.6896551724137931,0.875,0.758,0.836,0.75,0.87,0.8,0.9375,0.8125,0.8823529411764706,0.96875,0.62,1.0,0.7796610169491526,1.0,0.8026315789473685,0.8947368421052632,0.7777777777777778,0.68,0.5833333333333334
autodp_ofat_duplicate_removal_exact,0.9,0.42857142857142855,0.655,0.6,0.910828025477707,0.9512195121951219,0.8631578947368421,0.5,0.83,0.6896551724137931,0.86,0.757,0.85,0.75,0.83,0.6,0.8958333333333334,0.78125,0.8921568627450981,0.96875,0.62,1.0,0.7796610169491526,1.0,0.7894736842105263,0.8947368421052632,0.7777777777777778,0.66,0.6666666666666666
autodp_ofat_duplicate_removal_approximate,0.9,0.42857142857142855,0.655,0.6,0.910828025477707,0.9512195121951219,0.8631578947368421,0.5,0.83,0.6896551724137931,0.86,0.757,0.85,0.75,0.83,0.6,0.8958333333333334,0.78125,0.8921568627450981,0.96875,0.62,1.0,0.7796610169491526,1.0,0.7894736842105263,0.8947368421052632,0.7777777777777778,0.66,0.6666666666666666
