,D_1527,D_1528,D_1529,D_1530,D_1531,D_1532,D_1533,D_1534,D_1535,D_1536,D_1537,D_1538,D_1539,D_1540,D_1541,D_1542,D_1543,D_1544,D_1545,D_1546,D_1547,D_1548,D_1549,D_1551,D_1552,D_1553,D_1554,D_1555,D_1556
autodp_00_baseline,0.9093701996927803,0.9076923076923077,0.898360655737705,0.900990099009901,0.965,0.964,0.967,0.965,0.962,0.963,0.972,0.943,0.948,0.946,0.944,0.9156118143459916,0.9120370370370371,0.9140625,0.9123505976095617,0.905829596412556,0.745,0.488,0.25333333333333335,0.275,0.2818181818181818,0.4,0.37,0.245,1.0
autodp_ofat_imputation_random,0.9093701996927803,0.9076923076923077,0.898360655737705,0.900990099009901,0.965,0.964,0.967,0.965,0.962,0.963,0.972,0.943,0.948,0.946,0.944,0.9156118143459916,0.9120370370370371,0.9140625,0.9123505976095617,0.905829596412556,0.745,0.488,0.25333333333333335,0.275,0.2818181818181818,0.4,0.37,0.245,1.0
autodp_ofat_imputation_drop,0.9093701996927803,0.9076923076923077,0.898360655737705,0.900990099009901,0.965,0.964,0.967,0.965,0.962,0.963,0.972,0.943,0.948,0.946,0.944,0.9156118143459916,0.9120370370370371,0.9140625,0.9123505976095617,0.905829596412556,0.745,0.488,0.25333333333333335,0.275,0.2818181818181818,0.4,0.37,0.245,1.0
autodp_ofat_imputation_knn,0.9093701996927803,0.9076923076923077,0.898360655737705,0.900990099009901,0.965,0.964,0.967,0.965,0.962,0.963,0.972,0.943,0.948,0.946,0.944,0.9156118143459916,0.9120370370370371,0.9140625,0.9123505976095617,0.905829596412556,0.745,0.488,0.25333333333333335,0.275,0.2818181818181818,0.4,0.37,0.245,1.0
autodp_ofat_imputation_most_frequent,0.9093701996927803,0.9076923076923077,0.898360655737705,0.900990099009901,0.965,0.964,0.967,0.965,0.962,0.963,0.972,0.943,0.948,0.946,0.944,0.9156118143459916,0.9120370370370371,0.9140625,0.9123505976095617,0.905829596412556,0.745,0.488,0.25333333333333335,0.275,0.2818181818181818,0.4,0.37,0.245,1.0
autodp_ofat_imputation_em,0.9093701996927803,0.9076923076923077,0.898360655737705,0.900990099009901,0.965,0.964,0.967,0.965,0.962,0.963,0.972,0.943,0.948,0.946,0.944,0.9156118143459916,0.9120370370370371,0.9140625,0.9123505976095617,0.905829596412556,0.745,0.488,0.25333333333333335,0.275,0.2818181818181818,0.4,0.37,0.245,1.0
autodp_ofat_imputation_mice,0.9093701996927803,0.9076923076923077,0.898360655737705,0.900990099009901,0.965,0.964,0.967,0.965,0.962,0.963,0.972,0.943,0.948,0.946,0.944,0.9156118143459916,0.9120370370370371,0.9140625,0.9123505976095617,0.905829596412556,0.745,0.488,0.25333333333333335,0.275,0.2818181818181818,0.4,0.37,0.245,1.0
autodp_ofat_encoding_ordinal,0.9093701996927803,0.9076923076923077,0.898360655737705,0.900990099009901,0.965,0.964,0.967,0.965,0.962,0.963,0.972,0.943,0.948,0.946,0.944,0.9156118143459916,0.9120370370370371,0.9140625,0.9123505976095617,0.905829596412556,0.745,0.494,0.24666666666666667,0.25,0.3,0.37857142857142856,0.39,0.24,1.0
autodp_ofat_encoding_binary,0.9093701996927803,0.9076923076923077,0.898360655737705,0.900990099009901,0.965,0.964,0.967,0.965,0.962,0.963,0.972,0.943,0.948,0.946,0.944,0.9156118143459916,0.9120370370370371,0.9140625,0.9123505976095617,0.905829596412556,0.745,0.492,0.24666666666666667,0.2375,0.33181818181818185,0.4,0.34,0.23,1.0
autodp_ofat_encoding_frequency,0.9093701996927803,0.9076923076923077,0.898360655737705,0.900990099009901,0.965,0.964,0.967,0.965,0.962,0.963,0.972,0.943,0.948,0.946,0.944,0.9156118143459916,0.9120370370370371,0.9140625,0.9123505976095617,0.905829596412556,0.745,0.496,0.22666666666666666,0.2625,0.2818181818181818,0.39285714285714285,0.35,0.235,0.9166666666666666
