,D_23512,D_23517,D_40474,D_40475,D_40476,D_40477,D_40478,D_40496,D_40497,D_40498,D_40499,D_40514,D_40515,D_40516,D_40517,D_40518,D_40519,D_40520,D_40536,D_40646,D_40647,D_40648,D_40650,D_40660,D_40663,D_40664,D_40665,D_40666,D_40681
autodp_00_baseline,0.622,0.503,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.73,0.9258278145695364,0.5551020408163265,0.971,0.777,0.676,0.906,0.912,0.926,0.861,0.852,0.84,0.503125,0.45625,0.528125,0.4625,0.5555555555555556,0.625,0.930635838150289,0.9895833333333334,1.0,0.6538461538461539
autodp_ofat_imputation_random,0.622,0.503,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.73,0.9258278145695364,0.5551020408163265,0.971,0.777,0.676,0.906,0.912,0.926,0.861,0.852,0.842,0.503125,0.45625,0.528125,0.4625,0.5555555555555556,0.625,0.930635838150289,0.9895833333333334,1.0,0.6538461538461539
autodp_ofat_imputation_drop,0.622,0.503,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.73,0.9258278145695364,0.5551020408163265,0.971,0.777,0.676,0.906,0.912,0.926,0.861,0.852,0.818,0.503125,0.45625,0.528125,0.4625,0.5555555555555556,0.625,0.930635838150289,0.9895833333333334,1.0,0.6538461538461539
autodp_ofat_imputation_knn,0.622,0.503,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.73,0.9258278145695364,0.5551020408163265,0.971,0.777,0.676,0.906,0.912,0.926,0.861,0.852,0.84,0.503125,0.45625,0.528125,0.4625,0.5555555555555556,0.625,0.930635838150289,0.9895833333333334,1.0,0.6538461538461539
autodp_ofat_imputation_most_frequent,0.622,0.503,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.73,0.9258278145695364,0.5551020408163265,0.971,0.777,0.676,0.906,0.912,0.926,0.861,0.852,0.84,0.503125,0.45625,0.528125,0.4625,0.5555555555555556,0.625,0.930635838150289,0.9895833333333334,1.0,0.6538461538461539
autodp_ofat_imputation_em,0.622,0.503,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.73,0.9258278145695364,0.5551020408163265,0.971,0.777,0.676,0.906,0.912,0.926,0.861,0.852,0.838,0.503125,0.45625,0.528125,0.4625,0.5555555555555556,0.625,0.930635838150289,0.9895833333333334,1.0,0.6538461538461539
autodp_ofat_imputation_mice,0.622,0.503,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.73,0.9258278145695364,0.5551020408163265,0.971,0.777,0.676,0.906,0.912,0.926,0.861,0.852,0.843,0.503125,0.45625,0.528125,0.4625,0.5555555555555556,0.625,0.930635838150289,0.9895833333333334,1.0,0.6538461538461539
autodp_ofat_encoding_ordinal,0.622,0.503,0.6946428571428571,0.6946428571428571,0.6946428571428571,0.6946428571428571,0.6946428571428571,0.73,0.9258278145695364,0.5551020408163265,0.971,0.741,0.673,0.811,0.922,0.889,0.779,0.834,0.84,0.51875,0.465625,0.528125,0.465625,0.8888888888888888,0.6,0.9277456647398844,0.9895833333333334,1.0,0.6538461538461539
autodp_ofat_encoding_binary,0.622,0.503,0.7160714285714286,0.7160714285714286,0.7160714285714286,0.7160714285714286,0.7160714285714286,0.73,0.9258278145695364,0.5551020408163265,0.971,0.77,0.675,0.901,0.912,0.924,0.853,0.844,0.847,0.5,0.465625,0.509375,0.45625,0.5555555555555556,0.625,0.930635838150289,0.9895833333333334,1.0,0.6538461538461539
autodp_ofat_encoding_frequency,0.622,0.503,0.7071428571428572,0.7071428571428572,0.7071428571428572,0.7071428571428572,0.7071428571428572,0.73,0.9258278145695364,0.5551020408163265,0.971,0.733,0.675,0.805,0.925,0.89,0.712,0.763,0.85,0.471875,0.496875,0.51875,0.453125,0.6666666666666666,0.5875,0.8670520231213873,0.9895833333333334,1.0,0.7307692307692307
autodp_ofat_encoding_catboost,0.622,0.503,0.6964285714285714,0.6964285714285714,0.6964285714285714,0.6964285714285714,0.6964285714285714,0.73,0.9258278145695364,0.5551020408163265,0.971,0.755,0.636,0.849,0.948,0.908,0.78,0.817,0.842,0.5,0.503125,0.534375,0.5375,0.6666666666666666,0.625,0.846820809248555,0.9895833333333334,1.0,0.6153846153846154
autodp_ofat_normalization_zscore,0.628,0.5,0.7178571428571429,0.7178571428571429,0.7178571428571429,0.7178571428571429,0.7178571428571429,0.74,0.9602649006622517,0.563265306122449,0.991,0.78,0.676,0.906,0.912,0.926,0.861,0.937,0.842,0.503125,0.45625,0.528125,0.4625,0.5555555555555556,0.625,0.930635838150289,1.0,1.0,0.6538461538461539
autodp_ofat_normalization_minmax,0.595,0.506,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.73,0.937748344370861,0.5581632653061225,0.97,0.779,0.676,0.906,0.912,0.926,0.861,0.938,0.838,0.503125,0.45625,0.528125,0.4625,0.5555555555555556,0.6,0.930635838150289,1.0,1.0,0.6538461538461539
autodp_ofat_normalization_decimal_scale,0.594,0.495,0.7196428571428571,0.7196428571428571,0.7196428571428571,0.7196428571428571,0.7196428571428571,0.57,0.9258278145695364,0.4602040816326531,0.835,0.779,0.676,0.906,0.912,0.926,0.861,0.934,0.829,0.503125,0.45625,0.528125,0.4625,0.5555555555555556,,0.930635838150289,1.0,0.933,0.6538461538461539
autodp_ofat_feature_selection_missing_ratio,0.622,0.503,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.73,0.9258278145695364,0.5551020408163265,0.971,0.777,0.676,0.906,0.912,0.926,0.861,0.852,0.839,0.503125,0.45625,0.528125,0.4625,0.5555555555555556,0.625,0.930635838150289,0.9895833333333334,1.0,0.6538461538461539
autodp_ofat_feature_selection_wrapper,0.621,0.505,0.7125,0.7125,0.7125,0.7125,0.7125,0.62,0.9258278145695364,0.463265306122449,0.974,0.778,0.676,0.906,0.912,0.926,0.861,0.937,0.841,0.503125,0.45625,0.528125,0.4625,0.5555555555555556,0.625,0.930635838150289,0.6354166666666666,0.892,0.6538461538461539
autodp_ofat_feature_selection_collinear,0.622,0.503,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.73,0.9258278145695364,0.5551020408163265,0.955,0.777,0.676,0.906,0.912,0.926,0.861,0.852,0.84,0.503125,0.45625,0.528125,0.4625,0.5555555555555556,0.625,0.930635838150289,1.0,1.0,0.6538461538461539
autodp_ofat_feature_selection_tree_based,0.628,0.5,0.7196428571428571,0.7196428571428571,0.7196428571428571,0.7196428571428571,0.7196428571428571,0.58,0.9258278145695364,0.5306122448979592,0.956,0.779,0.676,0.906,0.912,0.926,0.861,0.916,0.843,0.503125,0.45625,0.528125,0.4625,0.5555555555555556,0.6,0.930635838150289,1.0,1.0,0.6538461538461539
autodp_ofat_duplicate_removal_exact,0.622,0.503,0.7178571428571429,0.7178571428571429,0.7178571428571429,0.7178571428571429,0.7178571428571429,0.75,0.9258278145695364,0.5459183673469388,0.971,0.777,0.663,0.906,0.913,0.928,0.825,0.852,0.84,0.503125,0.48125,0.528125,0.4625,0.5555555555555556,0.5875,0.930635838150289,0.9895833333333334,1.0,
autodp_ofat_duplicate_removal_approximate,0.622,0.503,0.7178571428571429,0.7178571428571429,0.7178571428571429,0.7178571428571429,0.7178571428571429,0.75,0.9258278145695364,0.5479591836734694,0.971,0.777,0.663,0.906,0.913,0.928,0.825,0.824,0.84,0.503125,0.48125,0.528125,0.4625,0.5555555555555556,0.5875,0.930635838150289,0.9895833333333334,1.0,
autodp_ofat_outlier_removal_zscore,0.637,0.503,0.7178571428571429,0.7178571428571429,0.7178571428571429,0.7178571428571429,0.7178571428571429,0.73,0.9245033112582781,0.5510204081632653,0.964,0.777,0.676,0.906,0.912,0.926,0.861,0.836,0.827,0.503125,0.45625,0.528125,0.4625,0.5555555555555556,0.5375,0.930635838150289,0.9583333333333334,0.995,
autodp_ofat_outlier_removal_iqr,0.604,0.503,0.6892857142857143,0.6892857142857143,0.6892857142857143,0.6892857142857143,0.6892857142857143,0.73,,0.539795918367347,0.964,0.782,0.676,0.906,0.912,0.926,0.861,0.79,0.819,0.503125,0.45625,0.528125,0.4625,0.5555555555555556,0.5125,0.930635838150289,0.9895833333333334,1.0,
autodp_ofat_outlier_removal_lof,0.619,0.501,0.7125,0.7125,0.7125,0.7125,0.7125,0.73,0.9245033112582781,0.5459183673469388,0.971,0.783,0.676,0.906,0.912,0.926,0.861,0.789,0.84,0.503125,0.45625,0.528125,0.4625,0.5555555555555556,0.6,0.930635838150289,0.9895833333333334,1.0,
autodp_combo_01_basic,0.59,0.5,0.6803571428571429,0.6803571428571429,0.6803571428571429,0.6803571428571429,0.6803571428571429,0.73,,0.5469387755102041,0.982,0.734,0.525,0.799,0.904,0.891,0.732,0.881,0.821,0.51875,0.475,0.528125,0.465625,0.7777777777777778,0.275,0.9335260115606936,1.0,1.0,
autodp_combo_02_knn_binary,0.602,0.502,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.75,0.9245033112582781,0.5622448979591836,0.941,0.766,0.661,0.901,0.919,0.924,0.833,0.927,0.839,0.5,0.4625,0.515625,0.465625,0.6666666666666666,0.525,0.9277456647398844,1.0,1.0,
autodp_combo_03_mice_catboost,0.636,0.503,0.7,0.7,0.7,0.7,0.7,0.51,0.9721854304635762,0.536734693877551,0.983,0.776,0.462,0.778,0.948,0.92,0.61,0.91,0.841,0.521875,0.51875,0.478125,0.553125,0.6666666666666666,0.25,0.8901734104046243,1.0,0.999,
autodp_combo_04_em_frequency,0.533,0.504,0.7,0.7,0.7,0.7,0.7,0.1,,0.5010204081632653,0.825,0.729,0.657,0.739,0.948,0.896,0.664,0.857,0.827,0.48125,0.509375,0.509375,0.453125,0.6666666666666666,0.225,0.846820809248555,1.0,0.877,
autodp_combo_05_random_ordinal,0.627,0.492,0.7160714285714286,0.7160714285714286,0.7160714285714286,0.7160714285714286,0.7160714285714286,0.73,0.9602649006622517,0.5520408163265306,0.978,0.741,0.525,0.799,0.903,0.891,0.732,0.873,0.838,0.51875,0.475,0.528125,0.465625,0.7777777777777778,0.525,0.9335260115606936,1.0,1.0,
autodp_combo_06_drop_binary,0.623,0.5,0.6910714285714286,0.6910714285714286,0.6910714285714286,0.6910714285714286,0.6910714285714286,0.4,0.9417218543046357,0.5336734693877551,0.947,0.769,0.644,0.81,0.948,0.912,0.83,0.898,0.822,0.490625,0.48125,0.534375,0.440625,0.6666666666666666,0.625,0.8959537572254336,0.96875,0.999,
autodp_combo_07_mf_frequency,0.537,0.495,0.6821428571428572,0.6821428571428572,0.6821428571428572,0.6821428571428572,0.6821428571428572,0.1,,0.49183673469387756,0.828,0.739,0.659,0.808,0.926,0.899,0.674,0.866,0.827,0.471875,0.496875,0.51875,0.453125,0.6666666666666666,0.2125,0.8670520231213873,1.0,0.932,
autodp_combo_08_knn_catboost,0.627,0.501,0.7214285714285714,0.7214285714285714,0.7214285714285714,0.7214285714285714,0.7214285714285714,0.52,0.9615894039735099,0.5408163265306123,0.991,0.778,0.653,0.798,0.948,0.915,0.744,0.869,0.835,0.484375,0.51875,0.503125,0.559375,0.6666666666666666,0.475,0.8815028901734104,0.78125,0.919,
autodp_combo_09_mice_ordinal,0.595,0.506,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.75,0.937748344370861,0.5540816326530612,0.943,0.743,0.657,0.813,0.921,0.891,0.73,0.876,0.831,0.5125,0.475,0.528125,0.465625,0.5555555555555556,0.525,0.9277456647398844,1.0,1.0,
autodp_combo_10_em_binary,0.57,0.495,0.6660714285714285,0.6660714285714285,0.6660714285714285,0.6660714285714285,0.6660714285714285,0.1,0.9258278145695364,0.4785714285714286,0.908,0.771,0.602,0.895,0.948,0.904,0.587,0.868,0.84,0.45625,0.503125,0.503125,0.48125,0.6666666666666666,0.5125,0.7803468208092486,1.0,0.846,
autodp_combo_11_random_frequency,0.602,0.503,0.6714285714285714,0.6714285714285714,0.6714285714285714,0.6714285714285714,0.6714285714285714,0.58,,0.5193877551020408,0.979,0.717,0.665,0.752,0.948,0.882,0.721,0.862,0.84,0.5125,0.5,0.496875,0.465625,0.5555555555555556,0.425,0.8959537572254336,1.0,1.0,
autodp_combo_12_drop_catboost,0.609,0.505,0.7017857142857142,0.7017857142857142,0.7017857142857142,0.7017857142857142,0.7017857142857142,0.49,0.9245033112582781,0.5510204081632653,0.969,0.784,0.463,0.769,0.948,0.904,0.512,0.859,0.836,0.484375,0.50625,0.503125,0.55,0.6666666666666666,0.475,0.8323699421965318,1.0,1.0,
autodp_combo_13_mf_binary,0.57,0.495,0.6535714285714286,0.6535714285714286,0.6535714285714286,0.6535714285714286,0.6535714285714286,0.1,0.9258278145695364,0.4785714285714286,0.745,0.773,0.602,0.895,0.948,0.901,0.587,0.866,0.839,0.475,0.49375,0.484375,0.475,0.6666666666666666,0.4875,0.708092485549133,1.0,0.843,
