,D_865,D_866,D_867,D_868,D_869,D_870,D_871,D_873,D_874,D_875,D_876,D_877,D_878,D_879,D_880,D_881,D_882,D_884,D_885,D_886,D_887,D_888,D_889,D_890,D_891,D_892,D_893,D_894,D_895
autodp_00_baseline,0.95,0.725,0.9230769230769231,0.65,0.69,0.75,0.4948051948051948,0.66,1.0,0.85,0.6,0.64,0.85,0.7,0.9824561403508771,0.977,0.6666666666666666,0.85,1.0,0.57,0.6923076923076923,0.8,0.75,0.7272727272727273,0.7894736842105263,0.9,0.6,0.9285714285714286,1.0
autodp_ofat_imputation_random,0.95,0.725,0.9230769230769231,0.65,0.69,0.75,0.4948051948051948,0.66,1.0,0.85,0.6,0.64,0.85,0.7,0.9824561403508771,0.977,0.6666666666666666,0.85,1.0,0.57,0.6923076923076923,0.8,0.75,0.7272727272727273,0.7894736842105263,0.9,0.6,0.9285714285714286,1.0
autodp_ofat_imputation_drop,0.95,0.725,0.9230769230769231,0.65,0.69,0.75,0.4948051948051948,0.66,1.0,0.85,0.6,0.64,0.85,0.7,0.9824561403508771,0.977,0.6666666666666666,0.85,1.0,0.57,0.6923076923076923,0.8,0.75,0.7272727272727273,0.7894736842105263,0.9,0.6,0.9285714285714286,1.0
autodp_ofat_imputation_knn,0.95,0.725,0.9230769230769231,0.65,0.69,0.75,0.4948051948051948,0.66,1.0,0.85,0.6,0.64,0.85,0.7,0.9824561403508771,0.977,0.6666666666666666,0.85,1.0,0.57,0.6923076923076923,0.8,0.75,0.7272727272727273,0.7894736842105263,0.9,0.6,0.9285714285714286,1.0
autodp_ofat_imputation_most_frequent,0.95,0.725,0.9230769230769231,0.65,0.69,0.75,0.4948051948051948,0.66,1.0,0.85,0.6,0.64,0.85,0.7,0.9824561403508771,0.977,0.6666666666666666,0.85,1.0,0.57,0.6923076923076923,0.8,0.75,0.7272727272727273,0.7894736842105263,0.9,0.6,0.9285714285714286,1.0
autodp_ofat_imputation_em,0.95,0.725,0.9230769230769231,0.65,0.69,0.75,0.4948051948051948,0.66,1.0,0.85,0.6,0.64,0.85,0.7,0.9824561403508771,0.977,0.6666666666666666,0.85,1.0,0.57,0.6923076923076923,0.8,0.75,0.7272727272727273,0.7894736842105263,0.9,0.6,0.9285714285714286,1.0
autodp_ofat_imputation_mice,0.95,0.725,0.9230769230769231,0.65,0.69,0.75,0.4948051948051948,0.66,1.0,0.85,0.6,0.64,0.85,0.7,0.9824561403508771,0.977,0.6666666666666666,0.85,1.0,0.57,0.6923076923076923,0.8,0.75,0.7272727272727273,0.7894736842105263,0.9,0.6,0.9285714285714286,1.0
autodp_ofat_encoding_ordinal,0.95,0.725,0.8076923076923077,0.65,0.69,0.75,0.4948051948051948,0.66,1.0,0.8,0.6,0.64,0.85,0.7,0.9824561403508771,0.977,0.6666666666666666,0.85,1.0,0.57,0.7692307692307693,0.8,0.75,0.7272727272727273,0.7894736842105263,0.9,0.6,0.9285714285714286,1.0
autodp_ofat_encoding_binary,0.95,0.725,0.8076923076923077,0.65,0.69,0.75,0.4948051948051948,0.66,1.0,0.85,0.6,0.64,0.85,0.7,0.9824561403508771,0.98,0.6666666666666666,0.85,1.0,0.57,0.6923076923076923,0.8,0.75,0.7272727272727273,0.8421052631578947,0.9,0.6,0.9285714285714286,1.0
autodp_ofat_encoding_frequency,0.95,0.725,0.8076923076923077,0.65,0.69,0.75,0.4948051948051948,0.66,1.0,0.8,0.6,0.64,0.85,0.7,0.9824561403508771,0.946,0.6666666666666666,0.85,1.0,0.57,0.6923076923076923,0.8,0.75,0.7272727272727273,0.7368421052631579,0.9,0.6,0.9285714285714286,1.0
