,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_18,D_20,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_30,D_31,D_32,D_34
autodp_00_baseline,0.8555555555555555,0.9578125,1.0,0.6629213483146067,0.763,0.8205128205128205,0.22388059701492538,0.5121951219512195,0.9310344827586207,0.864,0.9725,0.7586206896551724,0.8125,0.9357142857142857,0.97,0.7225,0.9775,0.8175,0.5152542372881356,0.998,0.8108108108108109,0.931,0.8513513513513513,0.947,0.8695652173913043,0.964,0.765,0.932,0.7222222222222222
autodp_ofat_imputation_random,0.7722222222222223,0.9578125,0.8333333333333334,0.651685393258427,0.763,,0.22388059701492538,0.5121951219512195,0.9310344827586207,0.864,0.9725,0.7586206896551724,0.8125,0.9428571428571428,0.97,0.7225,0.9775,0.8175,0.5152542372881356,0.998,0.8108108108108109,0.931,0.8243243243243243,0.947,0.8623188405797102,0.964,0.765,0.932,0.7222222222222222
autodp_ofat_imputation_drop,,0.9578125,,0.550561797752809,0.763,,0.22388059701492538,0.4146341463414634,0.9310344827586207,0.864,0.9725,0.7413793103448276,0.8125,0.9357142857142857,0.97,0.7225,0.9775,0.8175,0.5152542372881356,0.911,,0.931,,0.947,0.8623188405797102,0.964,0.765,0.932,0.7222222222222222
autodp_ofat_imputation_knn,0.8555555555555555,0.9578125,1.0,0.6741573033707865,0.763,,0.22388059701492538,0.4878048780487805,0.9310344827586207,0.864,0.9725,0.7586206896551724,0.8125,0.9357142857142857,0.97,0.7225,0.9775,0.8175,0.5152542372881356,0.998,0.8108108108108109,0.931,0.8243243243243243,0.947,0.8695652173913043,0.964,0.765,0.932,0.7222222222222222
autodp_ofat_imputation_most_frequent,0.8555555555555555,0.9578125,1.0,0.6629213483146067,0.763,,0.22388059701492538,0.4634146341463415,0.9310344827586207,0.864,0.9725,0.7586206896551724,0.8125,0.9357142857142857,0.97,0.7225,0.9775,0.8175,0.5152542372881356,0.998,0.8243243243243243,0.931,0.8243243243243243,0.947,0.8695652173913043,0.964,0.765,0.932,0.7222222222222222
autodp_ofat_imputation_em,0.8555555555555555,0.9578125,1.0,0.6853932584269663,0.763,,0.22388059701492538,0.43902439024390244,0.9310344827586207,0.864,0.9725,0.7586206896551724,0.8125,0.9357142857142857,0.97,0.7225,0.9775,0.8175,0.5152542372881356,0.998,0.8108108108108109,0.931,0.8378378378378378,0.947,0.8695652173913043,0.964,0.765,0.932,0.7222222222222222
autodp_ofat_imputation_mice,0.8555555555555555,0.9578125,0.9166666666666666,0.651685393258427,0.763,,0.22388059701492538,0.4634146341463415,0.9310344827586207,0.864,0.9725,0.7586206896551724,0.8125,0.9357142857142857,0.97,0.7225,0.9775,0.8175,0.5152542372881356,0.998,0.8243243243243243,0.931,0.8378378378378378,0.947,0.8768115942028986,0.964,0.765,0.932,0.7222222222222222
autodp_ofat_encoding_ordinal,0.8611111111111112,0.95625,1.0,0.6629213483146067,0.763,0.7948717948717948,0.22388059701492538,0.5121951219512195,0.8620689655172413,0.864,0.9725,0.7413793103448276,0.8125,0.9357142857142857,0.97,0.7225,0.8925,0.8175,0.5152542372881356,0.97,0.8378378378378378,0.754,0.8108108108108109,0.947,0.855072463768116,0.964,0.725,0.932,0.7222222222222222
autodp_ofat_encoding_binary,0.9444444444444444,0.9625,1.0,0.6629213483146067,0.763,0.8717948717948718,0.22388059701492538,0.5365853658536586,0.896551724137931,0.864,0.9725,0.7241379310344828,0.8125,0.9357142857142857,0.97,0.7225,0.9725,0.8175,0.5186440677966102,0.998,0.7837837837837838,0.814,0.8243243243243243,0.947,0.8840579710144928,0.964,0.78,0.932,0.7222222222222222
autodp_ofat_encoding_frequency,0.8611111111111112,0.9359375,0.9166666666666666,0.6629213483146067,0.763,0.6153846153846154,0.22388059701492538,0.5365853658536586,0.8275862068965517,0.864,0.9725,0.6551724137931034,0.8125,0.9357142857142857,0.97,0.7225,0.9375,0.8175,0.5084745762711864,0.963,0.7567567567567568,0.335,0.7027027027027027,0.947,0.782608695652174,0.964,0.71,0.932,0.7222222222222222
