,D_179,D_180,D_181,D_182,D_183,D_184,D_185,D_186,D_187,D_188,D_195,D_210,D_244,D_245,D_246,D_247,D_248,D_249,D_250,D_251,D_252,D_253,D_254,D_255,D_256,D_257,D_258,D_259,D_260
autodp_00_baseline,0.853,0.647,0.5387205387205387,0.867,0.2577937649880096,0.367,0.9291044776119403,0.7901234567901234,0.9722222222222222,0.5,0.7574825331670332,0.9277362042956514,0.803,0.763,0.946,0.475,0.36,0.891,0.821,0.984,0.942,0.702,0.739,0.514,0.829,0.883,0.883,0.9,0.772
autodp_ofat_imputation_random,0.853,0.647,0.5387205387205387,0.867,0.2577937649880096,0.367,0.9291044776119403,0.7777777777777778,0.9722222222222222,0.527027027027027,0.7574825331670332,0.9277362042956514,0.803,0.763,0.946,0.475,0.36,0.891,0.821,0.984,0.942,0.702,0.739,0.514,0.829,0.883,0.883,0.9,0.772
autodp_ofat_imputation_drop,0.852,0.647,0.5387205387205387,0.867,0.2577937649880096,0.367,0.9291044776119403,0.7777777777777778,0.9722222222222222,0.5202702702702703,0.7574825331670332,0.9277362042956514,0.803,0.763,0.946,0.475,0.36,0.891,0.821,0.984,0.942,0.702,0.739,0.514,0.829,0.883,0.883,0.9,0.772
autodp_ofat_imputation_knn,0.853,0.647,0.5387205387205387,0.867,0.2577937649880096,0.367,0.9291044776119403,0.7901234567901234,0.9722222222222222,0.5067567567567568,0.7574825331670332,0.9277362042956514,0.803,0.763,0.946,0.475,0.36,0.891,0.821,0.984,0.942,0.702,0.739,0.514,0.829,0.883,0.883,0.9,0.772
autodp_ofat_imputation_most_frequent,0.853,0.647,0.5387205387205387,0.867,0.2577937649880096,0.367,0.9253731343283582,0.8024691358024691,0.9722222222222222,0.43243243243243246,0.7574825331670332,0.9277362042956514,0.803,0.763,0.946,0.475,0.36,0.891,0.821,0.984,0.942,0.702,0.739,0.514,0.829,0.883,0.883,0.9,0.772
autodp_ofat_imputation_em,0.853,0.647,0.5387205387205387,0.867,0.2577937649880096,0.367,0.9291044776119403,0.7777777777777778,0.9722222222222222,0.47297297297297297,0.7574825331670332,0.9277362042956514,0.803,0.763,0.946,0.475,0.36,0.891,0.821,0.984,0.942,0.702,0.739,0.514,0.829,0.883,0.883,0.9,0.772
autodp_ofat_imputation_mice,0.853,0.647,0.5387205387205387,0.867,0.2577937649880096,0.367,0.9291044776119403,0.7654320987654321,0.9722222222222222,0.42567567567567566,0.7574825331670332,0.9277362042956514,0.803,0.763,0.946,0.475,0.36,0.891,0.821,0.984,0.942,0.702,0.739,0.514,0.829,0.883,0.883,0.9,0.772
autodp_ofat_encoding_ordinal,0.814,0.651,0.5387205387205387,0.867,0.26139088729016785,0.216,0.9365671641791045,0.7901234567901234,0.9722222222222222,0.4594594594594595,0.7588791011290749,0.9211260994108493,0.834,0.771,0.931,0.475,0.379,0.872,0.821,0.984,0.942,0.629,0.739,0.464,0.797,0.862,0.849,0.9,0.741
autodp_ofat_encoding_binary,0.855,0.651,0.5387205387205387,0.867,0.2589928057553957,0.318,0.9291044776119403,0.7777777777777778,0.9722222222222222,0.4864864864864865,0.7619212924761327,0.927736204295652,0.844,0.762,0.944,0.475,0.374,0.899,0.821,0.984,0.942,0.691,0.739,0.514,0.811,0.882,0.867,0.9,0.77
autodp_ofat_encoding_frequency,0.827,0.649,0.5387205387205387,0.867,0.2529976019184652,0.233,0.9291044776119403,0.7901234567901234,0.9722222222222222,0.49324324324324326,0.7600745324193197,0.9244985208956393,0.763,0.766,0.882,0.475,0.361,0.858,0.821,0.984,0.942,0.614,0.739,0.494,0.815,0.853,0.765,0.9,0.733
autodp_ofat_encoding_catboost,0.851,0.648,0.5387205387205387,0.867,0.26498800959232616,0.232,0.9291044776119403,0.7901234567901234,0.9722222222222222,0.5,0.7608735233892698,0.9249113736598138,0.762,0.767,0.93,0.475,0.365,0.88,0.821,0.984,0.942,0.654,0.739,0.512,0.834,0.882,0.863,0.9,0.755
autodp_ofat_normalization_zscore,0.851,0.684,0.5892255892255892,0.868,0.28776978417266186,0.367,0.9626865671641791,0.7901234567901234,0.9722222222222222,0.6824324324324325,0.7574825331670381,0.9277362042956515,0.937,0.842,0.946,0.476,0.636,0.89,0.825,0.984,0.948,0.726,0.771,0.513,0.828,0.884,0.886,0.907,0.78
autodp_ofat_normalization_minmax,0.851,0.678,0.569023569023569,0.848,0.26139088729016785,0.367,0.9589552238805971,0.7901234567901234,1.0,0.6418918918918919,0.7574825331670373,0.9277362042956513,0.938,0.839,0.947,0.482,0.638,0.895,0.843,0.985,0.963,0.722,0.761,0.514,0.828,0.883,0.886,0.903,0.779
autodp_ofat_normalization_decimal_scale,0.852,0.633,0.37373737373737376,0.844,0.2541966426858513,0.367,0.9216417910447762,0.7901234567901234,0.8333333333333334,0.5608108108108109,0.7574825331670372,0.9277362042956515,0.934,0.836,0.938,0.271,0.625,0.891,0.821,0.962,0.92,0.706,0.729,0.501,0.832,0.879,0.881,0.904,0.779
autodp_ofat_feature_selection_missing_ratio,0.853,0.647,0.5387205387205387,0.867,0.2577937649880096,0.367,0.9291044776119403,0.7901234567901234,0.9722222222222222,0.5,0.7574825331670332,0.9277362042956514,0.803,0.763,0.946,0.475,0.36,0.891,0.821,0.984,0.942,0.702,0.739,0.514,0.829,0.883,0.883,0.9,0.772
autodp_ofat_feature_selection_wrapper,0.853,0.601,0.5286195286195287,0.854,0.26019184652278177,0.367,0.9477611940298507,0.7901234567901234,0.8888888888888888,0.6486486486486487,0.7472578091797626,0.9335107071355879,0.937,0.848,0.939,0.408,0.62,0.888,0.772,0.973,0.659,0.7,0.451,0.488,0.827,0.879,0.886,0.904,0.779
autodp_ofat_feature_selection_collinear,0.853,0.647,0.5387205387205387,0.839,0.2565947242206235,0.367,0.9328358208955224,0.7901234567901234,0.9722222222222222,0.5,0.7573696380510448,0.9277362042956514,0.803,0.763,0.946,0.475,0.36,0.891,0.821,0.984,0.942,0.702,0.739,0.514,0.829,0.883,0.883,0.9,0.772
autodp_ofat_feature_selection_tree_based,0.853,0.57,0.5084175084175084,0.85,0.26139088729016785,0.367,0.9328358208955224,0.7901234567901234,0.9722222222222222,0.5,0.7910847120070118,0.9335107071355878,0.915,0.814,0.933,0.412,0.378,0.892,0.769,0.972,0.89,0.672,0.671,0.503,0.831,0.886,0.886,0.903,0.778
autodp_ofat_duplicate_removal_exact,0.853,0.649,0.5555555555555556,0.867,0.2577937649880096,0.367,0.9291044776119403,0.7901234567901234,0.9722222222222222,0.5,0.7518684285091239,0.9277362042956514,0.803,0.763,0.946,0.475,0.36,0.891,0.821,0.985,0.942,0.702,0.739,0.514,0.829,0.883,0.883,0.9,
autodp_ofat_duplicate_removal_approximate,0.853,0.649,0.5555555555555556,0.867,0.26019184652278177,0.367,0.9291044776119403,0.7901234567901234,0.9722222222222222,0.5,0.7512661467729902,0.9277362042956514,0.817,0.763,0.945,0.475,0.36,0.891,0.821,0.985,0.942,0.702,0.739,0.511,0.829,0.883,0.883,0.901,
autodp_ofat_outlier_removal_zscore,0.855,0.636,0.531986531986532,0.868,0.26618705035971224,0.367,0.9253731343283582,0.8024691358024691,0.9722222222222222,0.527027027027027,0.7867503205938955,0.9224415816451548,0.816,0.757,0.941,0.483,0.369,0.892,0.818,0.978,0.941,0.704,0.738,0.517,0.829,0.88,0.877,0.883,
autodp_ofat_outlier_removal_iqr,0.853,0.639,0.5185185185185185,0.867,0.26258992805755393,0.367,0.9216417910447762,0.7654320987654321,0.9722222222222222,0.49324324324324326,0.704248767927373,0.9203425361392719,0.839,0.766,0.928,0.441,0.367,0.894,0.799,0.981,0.937,0.693,0.656,0.524,0.832,0.881,0.874,0.728,
autodp_ofat_outlier_removal_lof,0.858,0.65,0.5420875420875421,0.86,0.2637889688249401,0.367,0.9253731343283582,0.8024691358024691,0.9722222222222222,0.5337837837837838,0.8192123642851181,0.9203687992476985,0.804,0.758,0.94,0.477,0.358,0.894,0.821,0.984,0.942,0.698,0.739,0.518,0.832,0.879,0.88,0.893,
autodp_combo_01_basic,0.821,0.673,0.5959595959595959,0.866,0.27697841726618705,0.215,0.9440298507462687,0.8148148148148148,1.0,0.6148648648648649,0.7575440978721012,0.9254985241682686,0.881,0.784,0.899,0.441,0.513,0.87,0.767,0.985,0.941,0.684,0.677,0.475,0.818,0.856,0.84,0.711,
autodp_combo_02_knn_binary,0.85,0.677,0.5656565656565656,0.828,0.2565947242206235,0.318,0.9626865671641791,0.7901234567901234,1.0,0.6554054054054054,0.7752940800655317,0.9203687992476985,0.927,0.825,0.946,0.478,0.589,0.901,0.843,0.986,0.963,0.714,0.761,0.516,0.811,0.883,0.873,0.904,
autodp_combo_03_mice_catboost,0.845,0.678,0.5656565656565656,0.86,0.2685851318944844,0.229,0.9440298507462687,0.8148148148148148,1.0,0.4594594594594595,0.8247149127150704,0.9288237832078494,0.916,0.801,0.911,0.409,0.55,0.861,0.781,0.973,0.891,0.676,0.665,0.52,0.835,0.872,0.868,0.907,
autodp_combo_04_em_frequency,0.804,0.605,0.5185185185185185,0.825,0.2565947242206235,0.231,0.9067164179104478,0.7901234567901234,0.8333333333333334,0.5135135135135135,0.7385660910036125,0.9289460646943019,0.857,0.804,0.864,0.167,0.497,0.84,0.763,0.94,0.786,0.632,0.576,0.497,0.818,0.835,0.848,0.862,
autodp_combo_05_random_ordinal,0.818,0.681,0.5757575757575758,0.823,0.2865707434052758,0.215,0.9626865671641791,0.8024691358024691,0.9722222222222222,0.722972972972973,0.7727168721522302,0.907924767436675,0.873,0.81,0.93,0.476,0.529,0.871,0.825,0.984,0.948,0.678,0.771,0.462,0.801,0.862,0.854,0.908,
autodp_combo_06_drop_binary,0.854,0.649,0.5521885521885522,0.841,0.25539568345323743,0.196,0.9477611940298507,0.7901234567901234,0.9722222222222222,0.5202702702702703,0.8030320861158328,0.9222711808933172,0.898,0.831,0.918,0.402,0.556,0.865,0.783,0.979,0.894,0.692,0.671,0.502,0.811,0.867,0.853,0.908,
autodp_combo_07_mf_frequency,0.814,0.624,0.5252525252525253,0.834,0.25539568345323743,0.233,0.9067164179104478,0.7901234567901234,0.8333333333333334,0.5,0.7414077292032213,0.924445754084159,0.866,0.805,0.873,0.176,0.504,0.862,0.799,0.953,0.92,0.64,0.638,0.501,0.817,0.832,0.851,0.862,
autodp_combo_08_knn_catboost,0.854,0.666,0.5454545454545454,0.86,0.2805755395683453,0.206,0.9626865671641791,0.7901234567901234,0.9722222222222222,0.6891891891891891,0.8100009768619318,0.90923998169933,0.858,0.799,0.918,0.407,0.549,0.869,0.789,0.973,0.896,0.679,0.706,0.502,0.837,0.879,0.876,0.908,
autodp_combo_09_mice_ordinal,0.82,0.675,0.5723905723905723,0.827,0.2541966426858513,0.212,0.9514925373134329,0.7901234567901234,1.0,0.4864864864864865,0.7530152719699379,0.9211260994108492,0.876,0.789,0.931,0.482,0.525,0.871,0.843,0.985,0.963,0.678,0.761,0.465,0.803,0.861,0.851,0.903,
autodp_combo_10_em_binary,0.829,0.6,0.5252525252525253,0.841,0.2446043165467626,0.254,0.9067164179104478,0.7901234567901234,0.8333333333333334,0.527027027027027,0.7868897598799525,0.9224415816451548,0.868,0.767,0.907,0.21,0.575,0.857,0.818,0.969,0.919,0.662,0.724,0.488,0.816,0.861,0.865,0.909,
autodp_combo_11_random_frequency,0.831,0.677,0.5521885521885522,0.851,0.27218225419664266,0.157,0.9253731343283582,0.7901234567901234,1.0,0.6283783783783784,0.7736501179164978,0.9289460646943019,0.862,0.82,0.863,0.417,0.503,0.841,0.77,0.979,0.904,0.564,0.644,0.499,0.808,0.848,0.794,0.775,
autodp_combo_12_drop_catboost,0.849,0.665,0.5387205387205387,0.845,0.25539568345323743,0.206,0.9514925373134329,0.7901234567901234,0.9722222222222222,0.5337837837837838,0.7997249774596544,0.9092399816993297,0.858,0.79,0.922,0.403,0.549,0.866,0.781,0.974,0.895,0.67,0.698,0.5,0.838,0.88,0.869,0.904,
autodp_combo_13_mf_binary,0.829,0.6,0.5252525252525253,0.819,0.2434052757793765,0.254,0.9067164179104478,0.7901234567901234,0.8333333333333334,0.527027027027027,0.7921614688936295,0.9224415816451549,0.866,0.769,0.902,0.21,0.567,0.854,0.818,0.969,0.919,0.669,0.724,0.488,0.811,0.855,0.876,0.909,
