,D_1376,D_1377,D_1378,D_1379,D_1380,D_1381,D_1382,D_1383,D_1384,D_1385,D_1386,D_1387,D_1388,D_1389,D_1390,D_1391,D_1392,D_1393,D_1394,D_1395,D_1396,D_1397,D_1398,D_1399,D_1400,D_1401,D_1402,D_1403,D_1404
autodp_00_baseline,,0.828,0.387,0.23,0.162,0.439,0.386,0.327,0.446,0.41,0.385,0.752,0.552,0.429,0.792,0.751,0.672,0.387,0.349,0.322,0.412,0.374,0.342,0.369,0.393,0.359,0.659,0.555,0.53
autodp_ofat_imputation_random,,0.828,0.387,0.23,0.162,0.439,0.386,0.327,0.446,0.41,0.385,0.752,0.552,0.429,0.792,0.751,0.672,0.387,0.349,0.322,0.412,0.374,0.342,0.369,0.393,0.359,0.659,0.555,0.53
autodp_ofat_imputation_drop,,0.828,0.387,0.23,0.162,0.439,0.386,0.327,0.446,0.41,0.385,0.752,0.552,0.429,0.792,0.751,0.672,0.387,0.349,0.322,0.412,0.374,0.342,0.369,0.393,0.359,0.659,0.555,0.53
autodp_ofat_imputation_knn,,0.828,0.387,0.23,0.162,0.439,0.386,0.327,0.446,0.41,0.385,0.752,0.552,0.429,0.792,0.751,0.672,0.387,0.349,0.322,0.412,0.374,0.342,0.369,0.393,0.359,0.659,0.555,0.53
autodp_ofat_imputation_most_frequent,,0.828,0.387,0.23,0.162,0.439,0.386,0.327,0.446,0.41,0.385,0.752,0.552,0.429,0.792,0.751,0.672,0.387,0.349,0.322,0.412,0.374,0.342,0.369,0.393,0.359,0.659,0.555,0.53
autodp_ofat_imputation_em,,0.828,0.387,0.23,0.162,0.439,0.386,0.327,0.446,0.41,0.385,0.752,0.552,0.429,0.792,0.751,0.672,0.387,0.349,0.322,0.412,0.374,0.342,0.369,0.393,0.359,0.659,0.555,0.53
autodp_ofat_imputation_mice,,0.828,0.387,0.23,0.162,0.439,0.386,0.327,0.446,0.41,0.385,0.752,0.552,0.429,0.792,0.751,0.672,0.387,0.349,0.322,0.412,0.374,0.342,0.369,0.393,0.359,0.659,0.555,0.53
autodp_ofat_encoding_ordinal,,0.831,0.387,0.23,0.162,0.439,0.386,0.327,0.446,0.41,0.385,0.702,0.54,0.396,0.751,0.706,0.632,0.378,0.352,0.321,0.397,0.385,0.343,0.373,0.403,0.385,0.65,0.529,0.537
autodp_ofat_encoding_binary,,0.829,0.387,0.23,0.162,0.439,0.386,0.327,0.446,0.41,0.385,0.746,0.557,0.414,0.783,0.747,0.675,0.378,0.338,0.322,0.401,0.381,0.341,0.366,0.402,0.374,0.656,0.569,0.532
autodp_ofat_encoding_frequency,,0.825,0.387,0.23,0.162,0.439,0.386,0.327,0.446,0.41,0.385,0.681,0.53,0.429,0.739,0.681,0.641,0.382,0.345,0.325,0.41,0.38,0.339,0.373,0.389,0.376,0.65,0.543,0.539
autodp_ofat_encoding_catboost,,0.83,0.387,0.23,0.162,0.439,0.386,0.327,0.446,0.41,0.385,0.666,0.477,0.369,0.75,0.67,0.597,0.369,0.341,0.322,0.4,0.374,0.347,0.361,0.4,0.37,0.647,0.55,0.536
autodp_ofat_normalization_zscore,,0.828,0.387,0.23,0.162,0.442,0.385,0.325,0.443,0.409,0.387,0.752,0.552,0.429,0.792,0.751,0.672,0.531,0.379,0.35,0.658,0.532,0.44,0.662,0.589,0.534,0.659,0.555,0.529
autodp_ofat_normalization_minmax,,0.828,0.363,0.219,0.158,0.435,0.362,0.311,0.433,0.404,0.366,0.752,0.552,0.429,0.792,0.751,0.672,0.527,0.379,0.347,0.654,0.533,0.438,0.665,0.586,0.533,0.659,0.556,0.53
autodp_ofat_normalization_decimal_scale,,0.828,0.223,0.127,0.093,0.241,0.221,0.192,0.239,0.223,0.22,0.752,0.552,0.429,0.792,0.751,0.672,0.509,0.379,0.342,0.643,0.52,0.433,0.66,0.549,0.525,0.658,0.557,0.53
autodp_ofat_feature_selection_missing_ratio,,0.828,0.387,0.23,0.162,0.439,0.386,0.327,0.446,0.41,0.385,0.752,0.552,0.429,0.792,0.751,0.672,0.387,0.349,0.322,0.412,0.374,0.342,0.369,0.393,0.359,0.659,0.555,0.53
autodp_ofat_feature_selection_wrapper,,0.828,0.314,0.203,0.136,0.402,0.319,0.276,0.394,0.354,0.32,0.752,0.552,0.429,0.792,0.751,0.672,0.532,0.382,0.355,0.652,0.523,0.438,0.662,0.592,0.525,0.642,0.56,0.534
autodp_ofat_feature_selection_collinear,,0.828,0.387,0.23,0.162,0.439,0.386,0.327,0.446,0.41,0.385,0.752,0.552,0.429,0.792,0.751,0.672,0.387,0.349,0.322,0.412,0.374,0.342,0.369,0.393,0.359,0.659,0.555,0.53
autodp_ofat_feature_selection_tree_based,,0.828,0.35,0.209,0.129,0.387,0.349,0.294,0.389,0.358,0.344,0.752,0.552,0.429,0.792,0.751,0.672,0.379,0.35,0.33,0.417,0.388,0.344,0.394,0.412,0.377,0.651,0.556,0.535
autodp_ofat_duplicate_removal_exact,0.873,0.827,0.387,0.23,0.162,0.439,0.386,0.327,0.446,0.41,0.385,0.752,0.552,0.429,0.795,0.753,0.671,0.387,0.349,0.322,0.412,0.374,0.342,0.369,0.393,0.359,0.659,0.555,0.53
autodp_ofat_duplicate_removal_approximate,0.873,0.827,0.387,0.23,0.162,0.439,0.386,0.327,0.446,0.41,0.385,0.752,0.552,0.429,0.795,0.753,0.671,0.387,0.349,0.322,0.412,0.374,0.342,0.369,0.393,0.359,0.659,0.555,0.53
autodp_ofat_outlier_removal_zscore,0.866,0.828,0.387,0.232,0.159,0.438,0.385,0.328,0.445,0.405,0.385,0.752,0.552,0.429,0.792,0.751,0.672,0.38,0.345,0.322,0.403,0.378,0.344,0.38,0.403,0.376,0.659,0.555,0.53
autodp_ofat_outlier_removal_iqr,0.866,0.828,0.353,0.204,0.151,0.43,0.348,0.294,0.415,0.379,0.345,0.752,0.552,0.429,0.792,0.751,0.672,0.358,0.324,0.328,0.38,0.35,0.345,0.367,0.388,0.359,0.659,0.555,0.53
autodp_ofat_outlier_removal_lof,0.866,0.828,0.384,0.228,0.162,0.442,0.381,0.326,0.447,0.406,0.385,0.752,0.552,0.429,0.792,0.751,0.672,0.371,0.338,0.318,0.4,0.372,0.338,0.373,0.395,0.378,0.658,0.566,0.544
autodp_combo_01_basic,0.864,0.829,0.352,0.206,0.151,0.427,0.347,0.292,0.422,0.379,0.343,0.698,0.528,0.381,0.729,0.701,0.629,0.435,0.335,0.308,0.54,0.428,0.383,0.484,0.515,0.433,0.65,0.531,0.538
autodp_combo_02_knn_binary,0.872,0.827,0.364,0.219,0.158,0.436,0.362,0.314,0.435,0.401,0.367,0.747,0.562,0.414,0.791,0.746,0.668,0.514,0.37,0.331,0.623,0.517,0.424,0.622,0.585,0.526,0.657,0.563,0.538
autodp_combo_03_mice_catboost,0.87,0.829,0.343,0.215,0.134,0.391,0.343,0.291,0.399,0.355,0.34,0.588,0.45,0.366,0.676,0.594,0.532,0.46,0.352,0.344,0.61,0.47,0.378,0.581,0.525,0.47,0.648,0.562,0.535
autodp_combo_04_em_frequency,0.855,0.824,0.158,0.114,0.084,0.184,0.158,0.149,0.164,0.18,0.16,0.568,0.468,0.398,0.668,0.57,0.508,0.434,0.354,0.353,0.445,0.432,0.38,0.461,0.456,0.433,0.615,0.546,0.546
autodp_combo_05_random_ordinal,0.864,0.829,0.383,0.229,0.162,0.444,0.382,0.327,0.445,0.408,0.387,0.698,0.528,0.381,0.729,0.701,0.629,0.491,0.364,0.354,0.546,0.494,0.414,0.512,0.551,0.503,0.646,0.536,0.548
