,D_73,D_74,D_75,D_76,D_77,D_78,D_115,D_116,D_117,D_118,D_119,D_120,D_121,D_122,D_123,D_124,D_125,D_126,D_127,D_128,D_129,D_130,D_131,D_132,D_133,D_134,D_135,D_136,D_137
autodp_00_baseline,0.937,0.478,0.732,0.892,0.785,0.856,0.928,0.771,0.773,0.761,0.512,0.976,0.843,0.886,0.906,0.868,0.917,0.806,0.86,0.835,0.988,0.861,0.946,0.84,0.652,0.887,0.676,0.859,0.717
autodp_ofat_imputation_random,0.937,0.478,0.732,0.892,0.785,0.856,0.928,0.771,0.773,0.761,0.512,0.976,0.843,0.886,0.906,0.868,0.917,0.806,0.86,0.835,0.988,0.861,0.946,0.84,0.652,0.887,0.676,0.859,0.717
autodp_ofat_imputation_drop,0.937,0.478,0.732,0.892,0.785,0.856,0.928,0.771,0.773,0.761,0.512,0.976,0.843,0.886,0.906,0.868,0.917,0.806,0.86,0.835,0.988,0.861,0.946,0.84,0.652,0.887,0.676,0.859,0.717
autodp_ofat_imputation_knn,0.937,0.478,0.732,0.892,0.785,0.856,0.928,0.771,0.773,0.761,0.512,0.976,0.843,0.886,0.906,0.868,0.917,0.806,0.86,0.835,0.988,0.861,0.946,0.84,0.652,0.887,0.676,0.859,0.717
autodp_ofat_imputation_most_frequent,0.937,0.478,0.732,0.892,0.785,0.856,0.928,0.771,0.773,0.761,0.512,0.976,0.843,0.886,0.906,0.868,0.917,0.806,0.86,0.835,0.988,0.861,0.946,0.84,0.652,0.887,0.676,0.859,0.717
autodp_ofat_imputation_em,0.937,0.478,0.732,0.892,0.785,0.856,0.928,0.771,0.773,0.761,0.512,0.976,0.843,0.886,0.906,0.868,0.917,0.806,0.86,0.835,0.988,0.861,0.946,0.84,0.652,0.887,0.676,0.859,0.717
autodp_ofat_imputation_mice,0.937,0.478,0.732,0.892,0.785,0.856,0.928,0.771,0.773,0.761,0.512,0.976,0.843,0.886,0.906,0.868,0.917,0.806,0.86,0.835,0.988,0.861,0.946,0.84,0.652,0.887,0.676,0.859,0.717
autodp_ofat_encoding_ordinal,0.891,0.351,0.613,0.851,0.74,0.774,0.812,0.699,0.71,0.699,0.464,0.905,0.77,0.84,0.811,0.863,0.9,0.726,0.767,0.695,0.963,0.779,0.942,0.804,0.563,0.849,0.673,0.827,0.665
autodp_ofat_encoding_binary,0.941,0.473,0.687,0.892,0.763,0.859,0.933,0.747,0.753,0.757,0.51,0.968,0.828,0.884,0.901,0.869,0.917,0.797,0.857,0.754,0.983,0.853,0.946,0.839,0.655,0.872,0.675,0.858,0.715
autodp_ofat_encoding_frequency,0.874,0.346,0.574,0.883,0.756,0.737,0.667,0.673,0.665,0.669,0.491,0.932,0.802,0.842,0.805,0.792,0.904,0.739,0.739,0.704,0.96,0.712,0.945,0.782,0.511,0.82,0.675,0.831,0.643
autodp_ofat_encoding_catboost,0.938,0.357,0.589,0.883,0.769,0.754,0.835,0.694,0.69,0.689,0.468,0.981,0.835,0.886,0.849,0.868,0.905,0.799,0.719,0.844,0.974,0.78,0.945,0.803,0.629,0.841,0.636,0.86,0.709
autodp_ofat_normalization_zscore,0.937,0.478,0.732,0.892,0.785,0.856,0.928,0.771,0.773,0.761,0.512,0.976,0.843,0.886,0.906,0.868,0.917,0.806,0.86,0.835,0.988,0.861,0.946,0.84,0.652,0.887,0.676,0.859,0.717
autodp_ofat_normalization_minmax,0.937,0.478,0.732,0.892,0.785,0.856,0.928,0.771,0.773,0.761,0.512,0.976,0.843,0.886,0.906,0.868,0.917,0.806,0.86,0.835,0.988,0.861,0.946,0.84,0.652,0.887,0.676,0.859,0.717
autodp_ofat_normalization_decimal_scale,0.937,0.478,0.732,0.892,0.785,0.856,0.928,0.771,0.773,0.761,0.512,0.976,0.843,0.886,0.906,0.868,0.917,0.806,0.86,0.835,0.988,0.861,0.946,0.84,0.652,0.887,0.676,0.859,0.717
autodp_ofat_feature_selection_missing_ratio,0.937,0.478,0.732,0.892,0.785,0.856,0.928,0.771,0.773,0.761,0.512,0.976,0.843,0.886,0.906,0.868,0.917,0.806,0.86,0.835,0.988,0.861,0.946,0.84,0.652,0.887,0.676,0.859,0.717
autodp_ofat_feature_selection_wrapper,0.937,0.478,0.732,0.892,0.785,0.856,0.928,0.771,0.773,0.761,0.512,0.976,0.843,0.886,0.906,0.868,0.917,0.806,0.86,0.835,0.988,0.861,0.946,0.84,0.652,0.887,0.676,0.859,0.717
autodp_ofat_feature_selection_collinear,0.937,0.478,0.732,0.892,0.785,0.856,0.928,0.771,0.773,0.761,0.512,0.976,0.843,0.886,0.906,0.868,0.917,0.806,0.86,0.835,0.988,0.861,0.946,0.84,0.652,0.887,0.676,0.859,0.717
