,D_1556,D_1557,D_1558,D_1559,D_1560,D_1562,D_1563,D_1564,D_1565,D_1566,D_1567,D_1568,D_1569,D_1590,D_1596,D_1597,D_4134,D_4135,D_4153,D_4154,D_4329,D_4340,D_4534,D_4538,D_4552,D_6332,D_23380,D_23381,D_23499
autodp_00_baseline,,0.638755980861244,0.8861878453038674,0.5,0.9483568075117371,0.6153846153846154,0.8461538461538461,0.8461538461538461,0.6440677966101694,1.0,0.524,0.933,0.491,0.86,0.686,1.0,0.7470039946737683,0.943,0.9722222222222222,1.0,0.851063829787234,0.8961038961038961,0.933,0.464,0.773,0.6666666666666666,0.9910714285714286,0.56,0.7142857142857143
autodp_ofat_imputation_random,,0.638755980861244,0.8861878453038674,0.5,0.9483568075117371,0.6153846153846154,0.8461538461538461,0.8461538461538461,0.6440677966101694,1.0,0.524,0.933,0.491,0.858,0.686,1.0,0.7470039946737683,0.943,0.9722222222222222,1.0,0.851063829787234,0.8961038961038961,0.933,0.464,0.773,0.6388888888888888,0.9964285714285714,0.52,0.7142857142857143
autodp_ofat_imputation_drop,,0.638755980861244,0.8861878453038674,0.5,0.9483568075117371,0.6153846153846154,0.8461538461538461,0.8461538461538461,0.6440677966101694,1.0,0.524,0.933,0.491,0.859,0.686,1.0,0.7470039946737683,0.943,0.9722222222222222,1.0,0.851063829787234,0.8961038961038961,0.933,0.464,0.773,0.6111111111111112,,0.55,0.7142857142857143
autodp_ofat_imputation_knn,,0.638755980861244,0.8861878453038674,0.5,0.9483568075117371,0.6153846153846154,0.8461538461538461,0.8461538461538461,0.6440677966101694,1.0,0.524,0.933,0.491,0.86,0.686,1.0,0.7470039946737683,0.943,0.9722222222222222,1.0,0.851063829787234,0.8961038961038961,0.933,0.464,0.773,0.6388888888888888,0.9928571428571429,0.56,0.7142857142857143
autodp_ofat_imputation_most_frequent,,0.638755980861244,0.8861878453038674,0.5,0.9483568075117371,0.6153846153846154,0.8461538461538461,0.8461538461538461,0.6440677966101694,1.0,0.524,0.933,0.491,0.86,0.686,1.0,0.7470039946737683,0.943,0.9722222222222222,1.0,0.851063829787234,0.8961038961038961,0.933,0.464,0.773,0.6759259259259259,0.9928571428571429,0.56,0.7142857142857143
autodp_ofat_imputation_em,,0.638755980861244,0.8861878453038674,0.5,0.9483568075117371,0.6153846153846154,0.8461538461538461,0.8461538461538461,0.6440677966101694,1.0,0.524,0.933,0.491,0.86,0.686,1.0,0.7470039946737683,0.943,0.9722222222222222,1.0,0.851063829787234,0.8961038961038961,0.933,0.464,0.773,0.6481481481481481,0.9946428571428572,0.56,0.7142857142857143
autodp_ofat_imputation_mice,,0.638755980861244,0.8861878453038674,0.5,0.9483568075117371,0.6153846153846154,0.8461538461538461,0.8461538461538461,0.6440677966101694,1.0,0.524,0.933,0.491,0.86,0.686,1.0,0.7470039946737683,0.943,0.9722222222222222,1.0,0.851063829787234,0.8961038961038961,0.933,0.464,0.773,0.6111111111111112,0.9982142857142857,0.56,0.7142857142857143
autodp_ofat_encoding_ordinal,,0.6447368421052632,0.887292817679558,0.5,0.9483568075117371,0.6153846153846154,0.8461538461538461,0.8461538461538461,0.6440677966101694,1.0,0.524,0.785,0.491,0.841,0.694,1.0,0.7470039946737683,0.942,0.9722222222222222,1.0,0.851063829787234,0.8961038961038961,0.9,0.464,0.732,0.6944444444444444,0.33035714285714285,0.5,0.7142857142857143
autodp_ofat_encoding_binary,,0.6435406698564593,0.8950276243093923,0.5,0.9483568075117371,0.6153846153846154,0.8461538461538461,0.8461538461538461,0.6440677966101694,1.0,0.524,0.93,0.491,0.838,0.694,1.0,0.7470039946737683,0.942,0.9722222222222222,1.0,0.851063829787234,0.8961038961038961,0.935,0.464,0.754,0.6851851851851852,0.49107142857142855,0.56,0.6964285714285714
autodp_ofat_encoding_frequency,,0.6495215311004785,0.8850828729281768,0.5,0.9483568075117371,0.6923076923076923,0.7692307692307693,0.7692307692307693,0.6440677966101694,1.0,0.524,0.347,0.491,0.825,0.687,1.0,0.7470039946737683,0.942,0.9722222222222222,1.0,0.851063829787234,0.8961038961038961,0.907,0.464,0.684,0.6296296296296297,0.30892857142857144,0.55,0.7142857142857143
autodp_ofat_encoding_catboost,,0.638755980861244,0.8917127071823204,0.5,0.9483568075117371,0.7692307692307693,0.5384615384615384,0.5384615384615384,0.6440677966101694,1.0,0.524,0.913,0.491,0.857,0.693,1.0,0.7470039946737683,0.942,0.9722222222222222,1.0,0.851063829787234,0.8961038961038961,0.921,0.464,0.712,0.5833333333333334,0.8196428571428571,0.59,0.7142857142857143
autodp_ofat_normalization_zscore,,0.6578947368421053,0.887292817679558,0.45454545454545453,0.9859154929577465,0.6153846153846154,0.8461538461538461,0.8461538461538461,0.6440677966101694,0.6172839506172839,0.524,0.933,0.492,0.85,0.732,1.0,0.7043941411451398,0.943,1.0,1.0,0.851063829787234,0.8831168831168831,0.933,0.464,0.774,0.7222222222222222,0.9946428571428572,0.56,0.7142857142857143
autodp_ofat_normalization_minmax,,0.6303827751196173,0.8895027624309392,0.5454545454545454,0.9788732394366197,0.6153846153846154,0.8461538461538461,0.8461538461538461,0.7288135593220338,0.551440329218107,0.522,0.933,0.491,0.849,0.708,0.999,0.7509986684420772,0.943,1.0,1.0,0.851063829787234,0.8701298701298701,0.933,0.478,0.77,0.7037037037037037,0.9982142857142857,0.56,0.7142857142857143
autodp_ofat_normalization_decimal_scale,,0.6148325358851675,0.887292817679558,0.45454545454545453,0.8990610328638498,0.6153846153846154,0.8461538461538461,0.8461538461538461,0.6779661016949152,0.5061728395061729,0.51,0.933,0.496,0.853,0.639,0.999,0.758988015978695,0.943,0.9722222222222222,0.999,0.851063829787234,0.6753246753246753,0.933,0.41,,0.7037037037037037,1.0,0.56,0.7142857142857143
autodp_ofat_feature_selection_missing_ratio,,0.638755980861244,0.8861878453038674,0.5,0.9483568075117371,0.6153846153846154,0.8461538461538461,0.8461538461538461,0.6440677966101694,1.0,0.524,0.933,0.491,0.86,0.686,1.0,0.7470039946737683,0.943,0.9722222222222222,1.0,0.851063829787234,0.8961038961038961,0.933,0.464,0.773,0.6666666666666666,0.9964285714285714,0.5,0.7142857142857143
autodp_ofat_feature_selection_wrapper,,0.6339712918660287,0.887292817679558,0.4090909090909091,0.9788732394366197,0.6153846153846154,0.8461538461538461,0.8461538461538461,0.6779661016949152,1.0,0.511,0.933,0.491,0.847,0.693,0.999,0.7376830892143809,0.943,0.9722222222222222,1.0,0.851063829787234,0.7402597402597403,0.933,0.466,0.771,0.6666666666666666,0.9964285714285714,0.56,0.7142857142857143
autodp_ofat_feature_selection_collinear,,0.5705741626794258,0.8861878453038674,0.5,0.9295774647887324,0.6153846153846154,0.8461538461538461,0.8461538461538461,0.6440677966101694,0.4897119341563786,0.524,0.933,0.491,0.86,0.686,1.0,0.7470039946737683,0.943,1.0,1.0,0.851063829787234,0.8961038961038961,0.933,0.464,0.773,0.6666666666666666,0.9910714285714286,0.56,0.7142857142857143
