,D_260,D_261,D_262,D_263,D_264,D_265,D_266,D_267,D_268,D_269,D_271,D_272,D_273,D_274,D_275,D_276,D_277,D_278,D_279,D_285,D_293,D_300,D_307,D_310,D_311,D_312,D_313,D_316,D_327
autodp_00_baseline,,0.773,0.711,0.982,0.781,0.576,0.883,0.873,0.563,0.896,0.885,,,,0.38461538461538464,0.6,0.4,0.9333333333333333,0.513,0.7105263157894737,,0.95,0.702020202020202,0.989,0.9521276595744681,0.9875518672199171,0.6041666666666666,0.9855371900826446,0.7619047619047619
autodp_ofat_imputation_random,,0.773,0.711,0.982,0.781,0.576,0.883,0.873,0.563,0.896,0.885,,,,0.38461538461538464,0.6,0.4,0.9333333333333333,0.513,0.7105263157894737,,0.95,0.702020202020202,0.989,0.9521276595744681,0.9875518672199171,0.6041666666666666,0.9855371900826446,0.7142857142857143
autodp_ofat_imputation_drop,,0.773,0.711,0.982,0.781,0.576,0.883,0.873,0.563,0.896,0.885,,,,0.38461538461538464,0.6,0.4,0.9333333333333333,0.513,0.7105263157894737,,0.95,0.702020202020202,0.989,0.9521276595744681,0.9875518672199171,0.6041666666666666,0.9855371900826446,0.7142857142857143
autodp_ofat_imputation_knn,,0.773,0.711,0.982,0.781,0.576,0.883,0.873,0.563,0.896,0.885,,,,0.38461538461538464,0.6,0.4,0.9333333333333333,0.513,0.7105263157894737,,0.95,0.702020202020202,0.989,0.9521276595744681,0.9875518672199171,0.6041666666666666,0.9855371900826446,0.7142857142857143
autodp_ofat_imputation_most_frequent,,0.773,0.711,0.982,0.781,0.576,0.883,0.873,0.563,0.896,0.885,,,,0.38461538461538464,0.6,0.4,0.9333333333333333,0.513,0.7105263157894737,,0.95,0.702020202020202,0.989,0.9521276595744681,0.9875518672199171,0.6041666666666666,0.9855371900826446,0.7619047619047619
autodp_ofat_imputation_em,,0.773,0.711,0.982,0.781,0.576,0.883,0.873,0.563,0.896,0.885,,,,0.38461538461538464,0.6,0.4,0.9333333333333333,0.513,0.7105263157894737,,0.95,0.702020202020202,0.989,0.9521276595744681,0.9875518672199171,0.6041666666666666,0.9855371900826446,0.7619047619047619
autodp_ofat_imputation_mice,,0.773,0.711,0.982,0.781,0.576,0.883,0.873,0.563,0.896,0.885,,,,0.38461538461538464,0.6,0.4,0.9333333333333333,0.513,0.7105263157894737,,0.95,0.702020202020202,0.989,0.9521276595744681,0.9875518672199171,0.6041666666666666,0.9855371900826446,0.6190476190476191
autodp_ofat_encoding_ordinal,,0.773,0.671,0.911,0.781,0.576,0.846,0.873,0.563,0.894,0.885,0.93,,,0.38461538461538464,0.6,0.4,0.9333333333333333,0.513,0.6578947368421053,,0.95,0.6868686868686869,0.989,0.9521276595744681,0.979253112033195,0.5833333333333334,0.9855371900826446,0.7142857142857143
autodp_ofat_encoding_binary,,0.773,0.738,0.982,0.781,0.576,0.885,0.873,0.563,0.895,0.885,0.93,,,0.38461538461538464,0.6,0.4,0.9333333333333333,0.513,0.6052631578947368,,0.95,0.7121212121212122,0.989,0.9521276595744681,0.9875518672199171,0.5833333333333334,0.9855371900826446,0.6666666666666666
autodp_ofat_encoding_frequency,,0.773,0.651,0.97,0.781,0.576,0.849,0.873,0.563,0.883,0.885,0.905,,,0.38461538461538464,0.6,0.4,0.9333333333333333,0.513,0.34210526315789475,,0.95,0.702020202020202,0.989,0.9521276595744681,0.970954356846473,0.5833333333333334,0.9855371900826446,0.7142857142857143
autodp_ofat_encoding_catboost,,0.773,0.669,0.959,0.781,0.576,0.872,0.873,0.563,0.887,0.885,0.898,,,0.38461538461538464,0.6,0.4,0.9333333333333333,0.513,0.5263157894736842,,0.95,0.6919191919191919,0.989,0.9521276595744681,0.91701244813278,0.59375,0.9855371900826446,0.6666666666666666
autodp_ofat_normalization_zscore,,0.772,0.827,0.979,0.809,0.579,0.882,0.874,0.568,0.895,0.886,,,,0.6153846153846154,0.6666666666666666,0.5333333333333333,0.9333333333333333,0.914,0.6578947368421053,,0.939,0.7070707070707071,0.989,0.9680851063829787,0.9730290456431535,0.4479166666666667,0.9793388429752066,0.7619047619047619
autodp_ofat_normalization_minmax,,0.763,0.826,0.981,0.811,0.572,0.884,0.873,0.561,0.894,0.879,,,,0.6153846153846154,0.6666666666666666,0.5333333333333333,1.0,0.88,0.6578947368421053,,0.945,0.48484848484848486,0.98,0.9627659574468085,0.9875518672199171,0.4270833333333333,0.9855371900826446,0.6666666666666666
autodp_ofat_normalization_decimal_scale,,0.711,0.816,0.981,0.788,0.541,0.872,0.855,0.499,0.89,0.883,,,,0.7692307692307693,0.6666666666666666,0.6,0.8,0.858,0.6578947368421053,,0.912,0.2727272727272727,0.978,0.9574468085106383,0.9875518672199171,0.3541666666666667,0.9855371900826446,0.6666666666666666
autodp_ofat_feature_selection_missing_ratio,,0.773,0.711,0.982,0.781,0.576,0.883,0.873,0.563,0.896,0.885,,,,0.38461538461538464,0.6,0.4,0.9333333333333333,0.513,0.7105263157894737,,0.95,0.702020202020202,0.989,0.9521276595744681,0.9875518672199171,0.6041666666666666,0.9855371900826446,0.7619047619047619
autodp_ofat_feature_selection_wrapper,,0.71,0.817,0.982,0.776,0.545,0.867,0.852,0.476,0.898,0.88,,,,0.46153846153846156,0.6,0.4,1.0,0.776,0.6842105263157895,,0.762,0.6717171717171717,0.976,0.9574468085106383,0.9875518672199171,0.3229166666666667,0.9855371900826446,0.7142857142857143
autodp_ofat_feature_selection_collinear,,0.773,0.711,0.982,0.781,0.576,0.883,0.873,0.563,0.896,0.885,,,,0.5384615384615384,0.6,0.4666666666666667,0.8666666666666667,0.512,0.7105263157894737,,0.949,0.702020202020202,0.989,0.9680851063829787,0.9875518672199171,0.5520833333333334,0.9855371900826446,0.7619047619047619
